Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2026-02-01,05:03 - 13:22 ( 75%),0,1,KPF,kpf2,Heather Knutson,CIT,C364,
2026-02-01,13:22 - 16:08 ( 25%),0,1,KPF-CC,kpf2,Heather Knutson,CIT,C364,
2026-02-03,05:04 - 07:49 ( 25%),10,1,KPF-CC,kpf1,Quang Tran,Yale(CIT),Y227,
2026-02-03,07:49 - 13:21 ( 50%),10,1,HIRES,hires3,Katherine de Kleer,CIT,C362,
2026-02-03,13:21 - 16:07 ( 25%),10,1,KPF-CC,kpf1,Brendan Bowler,UCSB,U247,
2026-02-04,05:05 - 13:21 ( 75%),17,1,KPF,kpf1,Erik Petigura,UCLA,U065,
2026-02-04,13:21 - 16:07 ( 25%),17,1,KPF-CC,kpf1,Brendan Bowler,UCSB,U247,
2026-02-07,05:06 - 07:50 ( 25%),41,1,KPF-CC,kpf1,Quang Tran,Yale(CIT),Y227,
2026-02-07,07:50 - 13:20 ( 50%),41,1,HIRES,hires4,Katherine de Kleer,CIT,C362,
2026-02-07,13:20 - 16:06 ( 25%),41,1,KPF-CC,kpf1,Paul Robertson,NASA,N008,
2026-02-11,05:08 - 07:51 ( 25%),73,1,KPF-CC,kpf1,Rafael Luque,NASA,N016,
2026-02-11,07:51 - 16:04 ( 75%),73,1,KPF,kpf1,Ian Crossfield,NASA,N064,
2026-02-12,05:08 - 10:36 ( 50%),81,1,HIRES,hires5,George Becker,UCR,U033,
2026-02-13,05:09 - 10:37 ( 50%),88,1,HIRES,hires5,George Becker,UCR,U033,
2026-02-14,05:09 - 10:36 ( 50%),95,1,HIRES,hires5,George Becker,UCR,U033,
2026-02-15,05:10 - 10:37 ( 50%),100,1,HIRES,hires5,George Becker,UCR,U033,
2026-02-16,07:53 - 16:02 ( 75%),100,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-02-17,05:10 - 16:01 (100%),100,1,HIRES,hires6,Kareem El-Badry,CIT,C375,
2026-02-18,07:53 - 16:01 ( 75%),92,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-02-19,05:11 - 07:53 ( 25%),83,1,KPF-CC,kpf1,Brendan Bowler,UCSB,U247,
2026-02-19,07:53 - 16:00 ( 75%),83,1,KPF,kpf1,Erik Petigura,UCLA,U065,
2026-02-21,05:12 - 10:36 ( 50%),65,1,HIRES,hires7,Kareem El-Badry,CIT,C367,
2026-02-23,05:13 - 15:58 (100%),45,1,HIRES,hires8,Thiago Ferreira dos Santos,Yale(CIT),Y024,
2026-02-26,05:14 - 10:35 ( 50%),16,1,KPF-CC,kpf1,Jessica Lu,UCB,U260,
2026-02-28,10:34 - 15:55 ( 50%),1,1,KPF-CC,kpf1,Ryan Foley,UCSC,U306,
2026-03-01,05:15 - 10:34 ( 50%),0,1,KPF,kpf1,Erik Petigura,UCLA,U065,
2026-03-01,10:34 - 13:14 ( 25%),0,1,KPF-CC,kpf1,Rafael Luque,NASA,N016,
2026-03-01,13:14 - 15:54 ( 25%),0,1,HIRES,hires1,Lauren Weiss,NASA,N012,
2026-03-02,05:15 - 15:53 (100%),0,1,KPF,kpf1,Rena Lee,UH,H345,
2026-03-06,05:16 - 10:33 ( 50%),20,1,KPF-CC,kpf1,Andrew Howard,CIT,C332,
2026-03-08,05:17 - 13:10 ( 75%),37,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-03-08,13:10 - 15:49 ( 25%),37,1,KPF-CC,kpf1,Gregory Gilbert,CIT,C417,
2026-03-09,10:33 - 15:48 ( 50%),45,1,HIRES,hires9,Adam Burgasser,UCSD,U099,
2026-03-10,10:32 - 15:47 ( 50%),54,1,HIRES,hires9,Adam Burgasser,UCSD,U099,
2026-03-12,05:18 - 10:32 ( 50%),70,1,HIRES,hires2,Kareem El-Badry,CIT,C367,
2026-03-13,05:18 - 15:44 (100%),78,1,HIRES,hires2,Kareem El-Badry,CIT,C363,
2026-03-14,05:19 - 15:44 (100%),84,1,HIRES,hires3,Laura Rogers,NASA,N104,
2026-03-15,05:19 - 10:31 ( 50%),91,1,HIRES,hires3,Laura Rogers,NASA,N104,
2026-03-17,05:19 - 13:05 ( 75%),100,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-03-21,05:21 - 07:55 ( 25%),76,1,KPF-CC,kpf1,Howard Isaacson,NASA,N006,
2026-03-21,07:55 - 10:30 ( 25%),76,1,HIRES,hires4,Katherine de Kleer,CIT,C362,
2026-03-21,10:30 - 15:38 ( 50%),76,1,HIRES,hires4,Adam Burgasser,UCSD,U099,
2026-03-24,05:21 - 13:01 ( 75%),43,1,KPF,kpf1,Fei Dai,UH,H341,
2026-03-24,13:01 - 15:35 ( 25%),43,1,HIRES,hires5,Daniel Huber,UH,H399,
2026-03-25,10:28 - 15:34 ( 50%),34,1,KPF,kpf1,Juan Espinoza-Retamal,NASA,N095,
2026-03-26,07:54 - 15:33 ( 75%),25,1,KPF-CC,kpf1,Brendan Bowler,UCSB,U247,
2026-03-27,05:22 - 10:27 ( 50%),18,1,HIRES,hires6,George Becker,UCR,U033,
2026-03-27,10:27 - 15:32 ( 50%),18,1,HIRES,hires6,Adam Burgasser,UCSD,U099,
2026-03-28,10:27 - 15:31 ( 50%),11,1,KPF,kpf1,Erik Petigura,UCLA,U245,
2026-03-29,05:23 - 07:54 ( 25%),5,1,KPF-CC,kpf1,Howard Isaacson,NASA,N006,
