Date,Length of Night (hr),Time Lost (hr),% Time Lost,Total Losses (days),% Total Loss
01-01,13.0,104.0,0.36,8,0.36
01-02,13.0,92.8,0.32,6,0.27
01-03,13.0,115.1,0.4,9,0.41
01-04,13.0,104.0,0.36,4,0.18
01-05,13.0,92.8,0.32,8,0.36
01-06,13.0,48.0,0.17,6,0.27
01-07,13.0,59.2,0.21,5,0.23
01-08,13.0,81.6,0.29,6,0.27
01-09,13.0,70.4,0.25,6,0.27
01-10,13.0,104.0,0.36,5,0.23
01-11,13.0,81.6,0.29,7,0.32
01-12,13.0,92.8,0.32,7,0.32
01-13,13.0,92.8,0.32,4,0.18
01-14,12.9,48.0,0.17,3,0.14
01-15,12.9,104.0,0.37,5,0.23
01-16,12.9,104.0,0.37,6,0.27
01-17,12.9,36.8,0.13,2,0.09
01-18,12.9,70.4,0.25,5,0.23
01-19,12.9,70.4,0.25,5,0.23
01-20,12.9,81.6,0.29,4,0.18
01-21,12.9,104.0,0.37,5,0.23
01-22,12.8,59.2,0.21,3,0.14
01-23,12.8,115.1,0.41,6,0.27
01-24,12.8,36.8,0.13,4,0.18
01-25,12.8,59.2,0.21,5,0.23
01-26,12.8,48.0,0.17,4,0.18
01-27,12.8,81.6,0.29,5,0.23
01-28,12.8,48.0,0.17,4,0.18
01-29,12.8,59.2,0.21,4,0.18
01-30,12.8,70.4,0.25,7,0.32
01-31,12.7,104.0,0.37,7,0.32
02-01,12.7,104.0,0.37,9,0.41
02-02,12.7,126.2,0.45,10,0.45
02-03,12.7,92.8,0.33,8,0.36
02-04,12.7,70.4,0.25,6,0.27
02-05,12.6,81.6,0.29,6,0.27
02-06,12.6,126.2,0.46,10,0.45
02-07,12.6,104.0,0.38,6,0.27
02-08,12.6,70.4,0.25,3,0.14
02-09,12.6,81.6,0.29,9,0.41
02-10,12.6,137.4,0.5,9,0.41
02-11,12.6,81.6,0.29,7,0.32
02-12,12.6,92.8,0.33,7,0.32
02-13,12.5,81.6,0.3,5,0.23
02-14,12.5,104.0,0.38,5,0.23
02-15,12.5,81.6,0.3,7,0.32
02-16,12.5,70.4,0.26,5,0.23
02-17,12.4,59.2,0.22,5,0.23
02-18,12.4,92.8,0.34,7,0.32
02-19,12.4,115.1,0.42,9,0.41
02-20,12.4,92.8,0.34,4,0.18
02-21,12.4,92.8,0.34,5,0.23
02-22,12.4,104.0,0.38,5,0.23
02-23,12.4,81.6,0.3,8,0.36
02-24,12.3,148.5,0.55,8,0.36
02-25,12.3,115.1,0.43,8,0.36
02-26,12.3,115.1,0.43,7,0.32
02-27,12.3,115.1,0.43,8,0.36
02-28,12.3,70.4,0.26,6,0.27
03-01,12.2,81.6,0.3,2,0.09
