unique_id,target,ra,dec,exptime,n_exp,n_intra_max,tau_intra,priority
D00,demo_00,126.0,-17.0,600.0,1,1,0.0,10
D01,demo_01,138.0,29.0,600.0,1,1,0.0,10
D02,demo_02,102.0,3.0,600.0,1,1,0.0,10
D03,demo_03,120.0,15.0,600.0,1,1,0.0,10
D04,demo_04,128.0,-7.0,600.0,1,1,0.0,10
D05,demo_05,102.0,17.0,600.0,1,1,0.0,10
D06,demo_06,108.0,9.0,600.0,1,1,0.0,10
D07,demo_07,118.0,1.0,600.0,1,1,0.0,10
D08,demo_08,142.0,-9.0,600.0,1,1,0.0,10
D09,demo_09,92.0,13.0,600.0,1,1,0.0,10
D10,demo_10,106.0,19.0,600.0,1,1,0.0,10
D11,demo_11,102.0,-3.0,600.0,1,1,0.0,10
D12,demo_12,180.0,53.0,600.0,1,1,0.0,10
D13,demo_13,164.0,41.0,600.0,1,1,0.0,10
D14,demo_14,162.0,47.0,600.0,1,1,0.0,10
D15,demo_15,166.0,27.0,600.0,1,1,0.0,10
D16,demo_16,160.0,-17.0,600.0,1,1,0.0,10
D17,demo_17,162.0,15.0,600.0,1,1,0.0,10
D18,demo_18,174.0,-9.0,600.0,1,1,0.0,10
D19,demo_19,164.0,15.0,600.0,1,1,0.0,10
