starname,ra,dec,nights_observable
noname_0,0.0,-90.0,0
noname_1,4.044943820224719,-90.0,0
noname_2,8.089887640449438,-90.0,0
noname_3,12.134831460674157,-90.0,0
noname_4,16.179775280898877,-90.0,0
noname_5,20.224719101123597,-90.0,0
noname_6,24.269662921348313,-90.0,0
noname_7,28.314606741573034,-90.0,0
noname_8,32.359550561797754,-90.0,0
noname_9,36.40449438202247,-90.0,0
noname_10,40.449438202247194,-90.0,0
noname_11,44.49438202247191,-90.0,0
noname_12,48.53932584269663,-90.0,0
noname_13,52.58426966292135,-90.0,0
noname_14,56.62921348314607,-90.0,0
noname_15,60.67415730337079,-90.0,0
noname_16,64.71910112359551,-90.0,0
noname_17,68.76404494382022,-90.0,0
noname_18,72.80898876404494,-90.0,0
noname_19,76.85393258426967,-90.0,0
noname_20,80.89887640449439,-90.0,0
noname_21,84.9438202247191,-90.0,0
noname_22,88.98876404494382,-90.0,0
noname_23,93.03370786516854,-90.0,0
noname_24,97.07865168539325,-90.0,0
noname_25,101.12359550561798,-90.0,0
noname_26,105.1685393258427,-90.0,0
noname_27,109.21348314606742,-90.0,0
noname_28,113.25842696629213,-90.0,0
noname_29,117.30337078651685,-90.0,0
noname_30,121.34831460674158,-90.0,0
noname_31,125.3932584269663,-90.0,0
noname_32,129.43820224719101,-90.0,0
noname_33,133.48314606741573,-90.0,0
noname_34,137.52808988764045,-90.0,0
noname_35,141.57303370786516,-90.0,0
noname_36,145.61797752808988,-90.0,0
noname_37,149.6629213483146,-90.0,0
noname_38,153.70786516853934,-90.0,0
noname_39,157.75280898876406,-90.0,0
noname_40,161.79775280898878,-90.0,0
noname_41,165.8426966292135,-90.0,0
noname_42,169.8876404494382,-90.0,0
noname_43,173.93258426966293,-90.0,0
noname_44,177.97752808988764,-90.0,0
noname_45,182.02247191011236,-90.0,0
noname_46,186.06741573033707,-90.0,0
noname_47,190.1123595505618,-90.0,0
noname_48,194.1573033707865,-90.0,0
noname_49,198.20224719101125,-90.0,0
noname_50,202.24719101123597,-90.0,0
noname_51,206.2921348314607,-90.0,0
noname_52,210.3370786516854,-90.0,0
noname_53,214.38202247191012,-90.0,0
noname_54,218.42696629213484,-90.0,0
noname_55,222.47191011235955,-90.0,0
noname_56,226.51685393258427,-90.0,0
noname_57,230.56179775280899,-90.0,0
noname_58,234.6067415730337,-90.0,0
noname_59,238.65168539325845,-90.0,0
noname_60,242.69662921348316,-90.0,0
noname_61,246.74157303370788,-90.0,0
noname_62,250.7865168539326,-90.0,0
noname_63,254.8314606741573,-90.0,0
noname_64,258.87640449438203,-90.0,0
noname_65,262.92134831460675,-90.0,0
noname_66,266.96629213483146,-90.0,0
noname_67,271.0112359550562,-90.0,0
noname_68,275.0561797752809,-90.0,0
noname_69,279.1011235955056,-90.0,0
noname_70,283.14606741573033,-90.0,0
noname_71,287.19101123595505,-90.0,0
noname_72,291.23595505617976,-90.0,0
noname_73,295.2808988764045,-90.0,0
noname_74,299.3258426966292,-90.0,0
noname_75,303.37078651685397,-90.0,0
noname_76,307.4157303370787,-90.0,0
noname_77,311.4606741573034,-90.0,0
noname_78,315.5056179775281,-90.0,0
noname_79,319.55056179775283,-90.0,0
noname_80,323.59550561797755,-90.0,0
noname_81,327.64044943820227,-90.0,0
noname_82,331.685393258427,-90.0,0
noname_83,335.7303370786517,-90.0,0
noname_84,339.7752808988764,-90.0,0
noname_85,343.82022471910113,-90.0,0
noname_86,347.86516853932585,-90.0,0
noname_87,351.91011235955057,-90.0,0
noname_88,355.9550561797753,-90.0,0
noname_89,360.0,-90.0,0
noname_90,0.0,-88.0,0
noname_91,4.044943820224719,-88.0,0
noname_92,8.089887640449438,-88.0,0
noname_93,12.134831460674157,-88.0,0
noname_94,16.179775280898877,-88.0,0
noname_95,20.224719101123597,-88.0,0
noname_96,24.269662921348313,-88.0,0
noname_97,28.314606741573034,-88.0,0
noname_98,32.359550561797754,-88.0,0
noname_99,36.40449438202247,-88.0,0
noname_100,40.449438202247194,-88.0,0
noname_101,44.49438202247191,-88.0,0
noname_102,48.53932584269663,-88.0,0
noname_103,52.58426966292135,-88.0,0
noname_104,56.62921348314607,-88.0,0
noname_105,60.67415730337079,-88.0,0
noname_106,64.71910112359551,-88.0,0
noname_107,68.76404494382022,-88.0,0
noname_108,72.80898876404494,-88.0,0
noname_109,76.85393258426967,-88.0,0
noname_110,80.89887640449439,-88.0,0
noname_111,84.9438202247191,-88.0,0
noname_112,88.98876404494382,-88.0,0
noname_113,93.03370786516854,-88.0,0
noname_114,97.07865168539325,-88.0,0
noname_115,101.12359550561798,-88.0,0
noname_116,105.1685393258427,-88.0,0
noname_117,109.21348314606742,-88.0,0
noname_118,113.25842696629213,-88.0,0
noname_119,117.30337078651685,-88.0,0
noname_120,121.34831460674158,-88.0,0
noname_121,125.3932584269663,-88.0,0
noname_122,129.43820224719101,-88.0,0
noname_123,133.48314606741573,-88.0,0
noname_124,137.52808988764045,-88.0,0
noname_125,141.57303370786516,-88.0,0
noname_126,145.61797752808988,-88.0,0
noname_127,149.6629213483146,-88.0,0
noname_128,153.70786516853934,-88.0,0
noname_129,157.75280898876406,-88.0,0
noname_130,161.79775280898878,-88.0,0
noname_131,165.8426966292135,-88.0,0
noname_132,169.8876404494382,-88.0,0
noname_133,173.93258426966293,-88.0,0
noname_134,177.97752808988764,-88.0,0
noname_135,182.02247191011236,-88.0,0
noname_136,186.06741573033707,-88.0,0
noname_137,190.1123595505618,-88.0,0
noname_138,194.1573033707865,-88.0,0
noname_139,198.20224719101125,-88.0,0
noname_140,202.24719101123597,-88.0,0
noname_141,206.2921348314607,-88.0,0
noname_142,210.3370786516854,-88.0,0
noname_143,214.38202247191012,-88.0,0
noname_144,218.42696629213484,-88.0,0
noname_145,222.47191011235955,-88.0,0
noname_146,226.51685393258427,-88.0,0
noname_147,230.56179775280899,-88.0,0
noname_148,234.6067415730337,-88.0,0
noname_149,238.65168539325845,-88.0,0
noname_150,242.69662921348316,-88.0,0
noname_151,246.74157303370788,-88.0,0
noname_152,250.7865168539326,-88.0,0
noname_153,254.8314606741573,-88.0,0
noname_154,258.87640449438203,-88.0,0
noname_155,262.92134831460675,-88.0,0
noname_156,266.96629213483146,-88.0,0
noname_157,271.0112359550562,-88.0,0
noname_158,275.0561797752809,-88.0,0
noname_159,279.1011235955056,-88.0,0
noname_160,283.14606741573033,-88.0,0
noname_161,287.19101123595505,-88.0,0
noname_162,291.23595505617976,-88.0,0
noname_163,295.2808988764045,-88.0,0
noname_164,299.3258426966292,-88.0,0
noname_165,303.37078651685397,-88.0,0
noname_166,307.4157303370787,-88.0,0
noname_167,311.4606741573034,-88.0,0
noname_168,315.5056179775281,-88.0,0
noname_169,319.55056179775283,-88.0,0
noname_170,323.59550561797755,-88.0,0
noname_171,327.64044943820227,-88.0,0
noname_172,331.685393258427,-88.0,0
noname_173,335.7303370786517,-88.0,0
noname_174,339.7752808988764,-88.0,0
noname_175,343.82022471910113,-88.0,0
noname_176,347.86516853932585,-88.0,0
noname_177,351.91011235955057,-88.0,0
noname_178,355.9550561797753,-88.0,0
noname_179,360.0,-88.0,0
noname_180,0.0,-86.0,0
noname_181,4.044943820224719,-86.0,0
noname_182,8.089887640449438,-86.0,0
noname_183,12.134831460674157,-86.0,0
noname_184,16.179775280898877,-86.0,0
noname_185,20.224719101123597,-86.0,0
noname_186,24.269662921348313,-86.0,0
noname_187,28.314606741573034,-86.0,0
noname_188,32.359550561797754,-86.0,0
noname_189,36.40449438202247,-86.0,0
noname_190,40.449438202247194,-86.0,0
noname_191,44.49438202247191,-86.0,0
noname_192,48.53932584269663,-86.0,0
noname_193,52.58426966292135,-86.0,0
noname_194,56.62921348314607,-86.0,0
noname_195,60.67415730337079,-86.0,0
noname_196,64.71910112359551,-86.0,0
noname_197,68.76404494382022,-86.0,0
noname_198,72.80898876404494,-86.0,0
noname_199,76.85393258426967,-86.0,0
noname_200,80.89887640449439,-86.0,0
noname_201,84.9438202247191,-86.0,0
noname_202,88.98876404494382,-86.0,0
noname_203,93.03370786516854,-86.0,0
noname_204,97.07865168539325,-86.0,0
noname_205,101.12359550561798,-86.0,0
noname_206,105.1685393258427,-86.0,0
noname_207,109.21348314606742,-86.0,0
noname_208,113.25842696629213,-86.0,0
noname_209,117.30337078651685,-86.0,0
noname_210,121.34831460674158,-86.0,0
noname_211,125.3932584269663,-86.0,0
noname_212,129.43820224719101,-86.0,0
noname_213,133.48314606741573,-86.0,0
noname_214,137.52808988764045,-86.0,0
noname_215,141.57303370786516,-86.0,0
noname_216,145.61797752808988,-86.0,0
noname_217,149.6629213483146,-86.0,0
noname_218,153.70786516853934,-86.0,0
noname_219,157.75280898876406,-86.0,0
noname_220,161.79775280898878,-86.0,0
noname_221,165.8426966292135,-86.0,0
noname_222,169.8876404494382,-86.0,0
noname_223,173.93258426966293,-86.0,0
noname_224,177.97752808988764,-86.0,0
noname_225,182.02247191011236,-86.0,0
noname_226,186.06741573033707,-86.0,0
noname_227,190.1123595505618,-86.0,0
noname_228,194.1573033707865,-86.0,0
noname_229,198.20224719101125,-86.0,0
noname_230,202.24719101123597,-86.0,0
noname_231,206.2921348314607,-86.0,0
noname_232,210.3370786516854,-86.0,0
noname_233,214.38202247191012,-86.0,0
