start,stop
2025-08-01T05:49:59.744,2025-08-01T15:06:44.938
2025-08-02T05:49:24.646,2025-08-02T15:07:11.723
2025-08-03T05:48:48.517,2025-08-03T15:07:38.275
2025-08-04T05:48:11.376,2025-08-04T15:08:04.581
2025-08-05T05:47:33.409,2025-08-05T15:08:30.601
2025-08-06T05:46:54.596,2025-08-06T15:08:56.183
2025-08-07T05:46:14.838,2025-08-07T15:09:21.490
2025-08-08T05:45:34.157,2025-08-08T15:09:46.513
2025-08-09T05:44:52.577,2025-08-09T15:10:11.246
2025-08-10T05:44:10.122,2025-08-10T15:10:35.683
2025-08-11T05:43:26.818,2025-08-11T15:10:59.822
2025-08-12T05:42:42.688,2025-08-12T15:11:23.658
2025-08-13T05:41:57.759,2025-08-13T15:11:47.190
2025-08-14T05:41:12.056,2025-08-14T15:12:10.414
2025-08-15T05:40:25.605,2025-08-15T15:12:33.329
2025-08-16T05:39:38.429,2025-08-16T15:12:55.930
2025-08-17T05:38:50.554,2025-08-17T15:13:18.214
2025-08-18T05:38:02.081,2025-08-18T15:13:40.176
2025-08-19T05:37:13.157,2025-08-19T15:14:01.811
2025-08-20T05:36:23.599,2025-08-20T15:14:23.113
2025-08-21T05:35:33.430,2025-08-21T15:14:44.080
2025-08-22T05:34:42.672,2025-08-22T15:15:04.705
2025-08-23T05:33:51.347,2025-08-23T15:15:24.986
2025-08-24T05:32:59.477,2025-08-24T15:15:44.921
2025-08-25T05:32:07.087,2025-08-25T15:16:04.508
2025-08-26T05:31:14.198,2025-08-26T15:16:23.747
2025-08-27T05:30:20.836,2025-08-27T15:16:42.639
2025-08-28T05:29:27.026,2025-08-28T15:17:01.188
2025-08-29T05:28:32.804,2025-08-29T15:17:19.396
2025-08-30T05:27:38.401,2025-08-30T15:17:37.269
2025-08-31T05:26:43.618,2025-08-31T15:17:54.813
2025-09-01T05:25:48.484,2025-09-01T15:18:12.017
2025-09-02T05:24:53.025,2025-09-02T15:18:28.863
2025-09-03T05:23:57.269,2025-09-03T15:18:45.411
2025-09-04T05:23:01.244,2025-09-04T15:19:01.670
2025-09-05T05:22:04.980,2025-09-05T15:19:17.653
2025-09-06T05:21:08.506,2025-09-06T15:19:33.373
2025-09-07T05:20:11.852,2025-09-07T15:19:48.846
2025-09-08T05:19:15.047,2025-09-08T15:20:04.087
2025-09-09T05:18:18.229,2025-09-09T15:20:19.113
2025-09-10T05:17:21.368,2025-09-10T15:20:33.941
