starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
105,LIBR,1.4695196103890200,-41.753408063428400,7.4,5861,6.5,97.86,-76.5,Gaia DR3 4995853014646189696,113,1,1,1,1,0,1,7.4
377,LIBR,2.1076643394278500,6.616794493147510,7.5,5758,6.4,87.52,-1.83,Gaia DR3 2745647973856851712,120,1,1,1,1,0,1,7.5
691,LIBR,2.8445698186203300,30.44973439006320,7.8,5379,6.6,209.64,35.6,Gaia DR3 2861502032312723328,183,1,1,1,1,0,1,7.8
1388,LIBR,4.497121279564230,-13.455641929479900,6.4,5816,5.4,401.64,-0.24,Gaia DR3 2423292879948720000,47,1,1,1,1,0,1,6.4
1461,LIBR,4.676323038587320,-8.05364062584043,6.3,5640,5.3,417.58,-143.9,Gaia DR3 2430102808294101760,45,1,1,1,1,0,1,6.3
2589,LIBR,7.736218600764690,77.01925183680750,6.0,5005,4.8,339.81,-34.42,Gaia DR3 540077264003238528,28,1,1,1,1,0,1,6.0
3861,LIBR,10.298922553155400,9.35459946071541,6.4,6195,5.6,-122.73,-103.08,Gaia DR3 2750176827892427904,42,1,1,1,1,0,1,6.4
4208,LIBR,11.112601864577800,-26.515018438908700,7.6,5544,6.6,313.56,149.32,Gaia DR3 2343647384368388608,150,1,1,1,1,0,1,7.6
4203,LIBR,11.172246871990600,20.44837522721210,8.5,5632,7.4,122.1,-124.2,Gaia DR3 2801366000472903040,315,1,1,1,1,0,1,8.5
4307,LIBR,11.36937776735490,-12.881722089785400,6.0,5721,5.0,-33.61,-205.5,Gaia DR3 2376087581593256448,33,1,1,1,1,0,1,6.0
4628,LIBR,12.099107075155000,5.27553944692346,5.5,4859,4.4,755.89,-1141.72,Gaia DR3 2552925644460225152,21,1,1,1,1,0,1,5.5
4747,LIBR,12.36401204858630,-23.2119122643033,7.0,5230,5.8,519.05,124.04,Gaia DR3 2348830516542653824,81,1,1,1,1,0,1,7.0
4915,LIBR,12.796367991908000,-5.039807177766980,6.8,5652,5.8,261.89,-119.04,Gaia DR3 2525514785221197696,71,1,1,1,1,0,1,6.8
5133,LIBR,13.257923204654400,-30.356773021373200,6.9,4815,5.5,620.24,31.77,Gaia DR3 5031808453624044800,80,1,1,1,1,0,1,6.9
6558,LIBR,16.607472456986500,-0.7496090598758010,8.1,5950,7.2,70.96,-35.25,Gaia DR3 2533207140366790272,239,1,1,1,1,0,1,8.1
6963,LIBR,17.673669293671600,42.93094190794180,7.5,5474,6.3,-153.97,-200.05,Gaia DR3 373208954099200768,109,1,1,1,1,0,1,7.5
HIP5938,LIBR,19.101421358445400,-12.0970230918941,7.4,5348,6.2,133.88,-4.97,Gaia DR3 2468730472844294016,114,1,1,1,1,0,1,7.4
8038,LIBR,19.870991526370500,-24.95174868996700,8.2,5595,7.2,-22.08,-121.85,Gaia DR3 5040068191130125056,289,1,1,1,1,0,1,8.2
HIP6276,LIBR,20.134955655159800,-11.46831072997000,8.2,5259,7.0,111.48,-136.92,Gaia DR3 2470272812780609280,282,1,1,1,1,0,1,8.2
7924,LIBR,20.49563501592210,76.71014296688710,6.9,5059,5.6,-34.77,-32.72,Gaia DR3 560130775546153344,82,1,1,1,1,0,1,6.9
8574,LIBR,21.30342043040340,28.565994976122800,7.0,5960,6.0,251.27,-157.57,Gaia DR3 297045096447719040,74,1,1,1,1,0,1,7.0
