starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
10002,BKUP,24.285948,-29.393263,8.13,5320.470406435,6.684000015258790,285.673,-70.19,Gaia DR2 5023104341621414400,161.0,1,1,1,1,0,1,8.13
10008,BKUP,24.397776,-6.760423600000000,7.66,5387.75867485,6.224999904632570,171.895,-98.17,Gaia DR2 2477815222028038272,116.0,1,1,1,1,0,1,7.66
100180,BKUP,172.93726500000000,14.364505,6.2,5988.08325413,5.179999828338620,-330.279,-190.081,Gaia DR2 3966121308211393920,41.0,3,1,1,1,0,1,6.2
100623,BKUP,173.62287,-32.831340000000000,5.98,5114.85569643,4.78000020980835,-670.12,822.228,Gaia DR2 3478127463341507072,22.0,3,1,1,1,0,1,5.98
101259,BKUP,174.75184500000000,-24.721093,6.42,4963.03462173,4.86299991607666,31.446,-240.949,Gaia DR2 3491774880840574464,33.0,3,1,1,1,0,1,6.42
10145,BKUP,25.4072055,66.90994600000000,7.7,5608.212811395,6.449999809265140,692.707,-265.728,Gaia DR2 519478154178249728,134.0,1,1,1,1,0,1,7.7
101501,BKUP,175.26256500000000,34.201636,5.32,5534.36731357,4.010000228881840,-12.247,-381.257,Gaia DR2 4025850731201819392,14.0,3,1,1,1,0,1,5.32
102158,BKUP,176.37711,47.666879,8.03,5667.68031172,6.860000133514400,-591.436,-290.828,Gaia DR2 786413532715960576,170.0,1,1,1,1,0,1,8.03
103095,BKUP,178.244865,37.718677,6.45,4967.65651427,4.936999797821050,4002.567,-5817.856,Gaia DR2 4034171629042489088,34.0,3,1,1,1,0,1,6.45
103432,BKUP,178.63362,19.411233,8.22,5632.54014983,6.956999778747560,-450.502,-16.554,Gaia DR2 3975129194660883328,194.0,1,1,1,1,0,1,8.22
103932,BKUP,179.48419500000000,-27.707043,6.97,4653.006211475,4.992000102996830,-1080.915,-621.085,Gaia DR2 3487062064765702272,43.0,3,1,1,1,0,1,6.97
104067,BKUP,179.79171000000000,-20.35378,7.93,4952.39432424,6.211999893188480,141.869,-423.911,Gaia DR2 3494677900774838144,119.0,1,1,1,1,0,1,7.93
104304,BKUP,180.18522,-10.446014,5.54,5592.96756467,4.28000020980835,82.841,-482.807,Gaia DR2 3575733210781078016,20.0,3,1,1,1,0,1,5.54
104556,BKUP,180.62049,43.084081,6.64,4858.23062898,5.099999904632570,-347.077,-510.84,Gaia DR2 1537769304681442176,37.0,3,1,1,1,0,1,6.64
10476,BKUP,25.624008,20.268504,5.2,5196.67035822,3.829999923706060,-301.592,-674.505,Gaia DR2 96331172942614528,12.0,3,1,1,1,0,1,5.2
105618,BKUP,182.40258,11.211576,8.64,5747.91020196,7.415999889373780,-104.613,-1.96,Gaia DR2 3906803888551408000,351.0,1,1,1,1,0,1,8.64
105631,BKUP,182.405235,40.252055,7.47,5469.90119553,6.027999877929690,-314.204,-50.999,Gaia DR2 1536064958579187840,103.0,1,1,1,1,0,1,7.47
106116,BKUP,183.12018,-3.0844722,7.5,5666.954106500000,6.2220001220703100,-606.833,418.418,Gaia DR2 3598278250031419008,118.0,1,1,1,1,0,1,7.5
