starname,program,ra,dec,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_inter,tau_intra
Star0000,Program0,111.6036337005429,-3.411512717999173,300,1,1,1,40,1,0
Star0001,Program0,119.97213145101466,40.04009243316111,300,1,1,1,40,1,0
Star0002,Program0,345.82183433245217,-6.812822656164045,300,1,1,1,40,1,0
Star0003,Program0,119.25570226871037,30.144638951132436,300,1,1,1,40,1,0
Star0004,Program0,298.6743617629402,23.76833738673922,300,1,1,1,40,1,0
Star0005,Program0,337.30904954869055,25.390730080174436,300,1,1,1,40,1,0
Star0006,Program0,59.026828143506805,-20.708658900164124,300,1,1,1,40,1,0
Star0007,Program0,22.164242231521314,37.11462174700404,300,1,1,1,40,1,0
Star0008,Program0,51.07937814118577,8.190951505216347,300,1,1,1,40,1,0
Star0009,Program0,23.93757410899707,-20.108688058479615,300,1,1,1,40,1,0
Star0010,Program0,86.98370540865903,31.15359530957727,300,1,1,1,40,1,0
Star0011,Program0,42.545653265591056,-1.791007493164301,300,1,1,1,40,1,0
Star0012,Program0,113.78978768301732,-20.11938125447095,300,1,1,1,40,1,0
Star0013,Program0,107.90943088576392,1.402219666789449,300,1,1,1,40,1,0
Star0014,Program0,39.076003106837675,39.209594562466435,300,1,1,1,40,1,0
Star0015,Program0,12.066692482938265,-12.556238631096619,300,1,1,1,40,1,0
Star0016,Program0,87.28623223969623,10.493462594605944,300,1,1,1,40,1,0
Star0017,Program0,69.13759046943244,13.499482077233239,300,1,1,1,40,1,0
Star0018,Program0,88.56885828494205,3.2961141739091886,300,1,1,1,40,1,0
Star0019,Program0,90.93897760052391,38.77582462668681,300,1,1,1,40,1,0
Star0020,Program0,354.46586706196194,2.9026021173098684,300,1,1,1,40,1,0
Star0021,Program0,300.0377082356194,51.805139108377716,300,1,1,1,40,1,0
Star0022,Program0,357.53428126012545,8.602395389408741,300,1,1,1,40,1,0
Star0023,Program0,107.69802684227875,21.468057206316686,300,1,1,1,40,1,0
Star0024,Program0,64.71780437041741,-29.559756400384835,300,1,1,1,40,1,0
Star0025,Program0,102.49951333430317,74.3568693690487,300,1,1,1,40,1,0
Star0026,Program0,113.97965557815087,-19.715677622816287,300,1,1,1,40,1,0
Star0027,Program0,56.89260730980993,55.38239952987695,300,1,1,1,40,1,0
Star0028,Program0,30.4200981728643,-13.661647560465681,300,1,1,1,40,1,0
Star0029,Program0,27.78712063557481,26.85499502450608,300,1,1,1,40,1,0
Star0030,Program1,24.134948779709475,-18.873907648648554,600,1,1,1,20,5,0
Star0031,Program1,293.9602786231592,66.90253710590804,600,1,1,1,20,5,0
Star0032,Program1,110.09011267833768,32.86417162296637,600,1,1,1,20,5,0
Star0033,Program1,2.8093258858551735,35.88918695276888,600,1,1,1,20,5,0
Star0034,Program1,35.347203182692965,0.30510650326772293,600,1,1,1,20,5,0
Star0035,Program1,327.89604673561047,-16.96563983052397,600,1,1,1,20,5,0
Star0036,Program1,96.63207074060819,33.233210257291006,600,1,1,1,20,5,0
Star0037,Program1,48.50768801291167,-27.331005975838877,600,1,1,1,20,5,0
Star0038,Program1,77.34356363683298,44.65565244849202,600,1,1,1,20,5,0
Star0039,Program1,74.78132535640691,-27.14279552649947,600,1,1,1,20,5,0
