start,stop
2018-08-05T10:27,2018-08-05T15:07
2018-08-05T05:47,2018-08-05T10:27
2018-08-06T06:30,2018-08-06T08:33
2018-08-06T05:46,2018-08-06T06:30
2018-08-06T08:33,2018-08-06T15:09
2018-08-09T05:45,2018-08-09T15:10
2018-08-13T05:42,2018-08-13T15:12
2018-08-14T05:41,2018-08-14T08:15
2018-08-14T08:15,2018-08-14T10:26
2018-08-14T10:26,2018-08-14T15:11
2018-08-15T05:41,2018-08-15T10:26
2018-08-18T05:37,2018-08-18T10:25
2018-08-18T10:25,2018-08-18T15:13
2018-08-19T05:37,2018-08-19T10:26
2018-08-19T10:26,2018-08-19T15:13
2018-08-27T07:57,2018-08-27T10:23
2018-08-27T10:23,2018-08-27T15:15
2018-08-29T05:29,2018-08-29T10:22
2018-08-29T10:22,2018-08-29T15:17
2018-09-01T05:26,2018-09-01T15:18
2018-09-02T05:25,2018-09-02T15:18
2018-09-03T05:24,2018-09-03T15:19
2018-09-04T07:52,2018-09-04T15:18
2018-09-07T05:20,2018-09-07T07:50
2018-09-07T07:50,2018-09-07T15:20
2018-09-20T05:08,2018-09-20T07:41
2018-09-20T07:41,2018-09-20T10:24
2018-09-21T05:06,2018-09-21T10:15
2018-09-21T10:15,2018-09-21T15:22
2018-09-23T05:05,2018-09-23T15:23
2018-09-24T05:05,2018-09-24T15:24
2018-09-25T05:04,2018-09-25T15:24
2018-09-26T05:03,2018-09-26T15:24
2018-09-27T05:02,2018-09-27T15:24
2018-09-28T05:00,2018-09-28T10:12
2018-09-28T10:12,2018-09-28T15:24
2018-09-29T05:00,2018-09-29T10:12
2018-09-29T10:12,2018-09-29T15:24
2018-09-30T04:59,2018-09-30T10:11
2018-09-30T10:11,2018-09-30T15:25
2018-10-01T04:58,2018-10-01T15:24
2018-10-03T04:57,2018-10-03T15:26
2018-10-04T04:56,2018-10-04T15:26
2018-10-21T04:42,2018-10-21T15:31
2018-10-22T04:42,2018-10-22T10:06
2018-10-22T10:06,2018-10-22T15:32
2018-10-26T04:40,2018-10-26T15:32
2018-10-27T04:40,2018-10-27T15:33
2018-10-30T04:38,2018-10-30T15:34
2018-10-31T04:37,2018-10-31T15:34
2018-11-02T10:05,2018-11-02T15:35
2018-11-02T04:36,2018-11-02T10:05
2018-11-03T04:35,2018-11-03T10:05
2018-11-03T10:05,2018-11-03T15:35
2018-11-13T07:19,2018-11-13T15:40
2018-11-13T04:32,2018-11-13T07:19
2018-11-14T04:33,2018-11-14T15:40
2018-11-15T10:06,2018-11-15T15:41
2018-11-15T04:31,2018-11-15T10:06
2018-11-18T04:32,2018-11-18T15:42
2018-11-19T04:31,2018-11-19T05:32
2018-11-20T04:32,2018-11-20T15:43
2018-12-09T10:14,2018-12-09T15:54
2018-12-09T04:33,2018-12-09T10:14
2018-12-23T04:40,2018-12-23T07:30
2018-12-23T07:30,2018-12-23T10:21
2018-12-25T04:41,2018-12-25T10:22
2018-12-25T10:22,2018-12-25T16:03
2019-01-06T04:48,2019-01-06T16:07
2019-01-07T04:49,2019-01-07T16:07
2019-01-24T07:48,2019-01-24T10:33
2019-01-24T10:33,2019-01-24T16:08
2019-01-25T04:59,2019-01-25T07:48
2019-01-25T07:48,2019-01-25T16:08
