time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-08-01,2460523.7626127223,2460523.742943833,2460523.7237274963,2460524.1100788903,2460524.129744415,2460524.1489571854
2024-08-02,2460524.7621540744,2460524.7425354472,2460524.723359937,2460525.110439279,2460525.130054748,2460525.1492269095
2024-08-03,2460525.761684199,2460525.7421154063,2460525.722980857,2460526.1107967654,2460526.1303626606,2460526.1494941358
2024-08-04,2460526.7612068933,2460526.7416838906,2460526.7225903934,2460527.111148717,2460527.13066792,2460527.1497586793
2024-08-05,2460527.760718216,2460527.7412438476,2460527.7221886925,2460528.1114979177,2460528.1309695807,2460528.150020367
2024-08-06,2460528.7602184033,2460528.7407932705,2460528.721775909,2460529.1118441136,2460529.131266706,2460529.150279039
2024-08-07,2460529.759707699,2460529.740331807,2460529.7213529055,2460530.112187068,2460530.131560654,2460530.1505345516
2024-08-08,2460530.75918636,2460530.7398596695,2460530.720920862,2460531.112526561,2460531.131851255,2460531.1507867756
2024-08-09,2460531.758654651,2460531.73937708,2460531.720478264,2460532.11286239,2460532.132138356,2460532.1510354416
2024-08-10,2460532.7581128515,2460532.7388842735,2460532.7200253084,2460533.113194371,2460533.132421821,2460533.1512794653
2024-08-11,2460533.757561252,2460533.7383814994,2460533.719562208,2460534.1135223405,2460534.1327015334,2460534.1515199756
2024-08-12,2460534.757000168,2460534.7378690313,2460534.719089199,2460535.1138461586,2460535.1329774,2460535.151756919
2024-08-13,2460535.7564299735,2460535.737347196,2460535.7186065693,2460536.1141656335,2460536.1332492754,2460536.1519901874
2024-08-14,2460536.755850764,2460536.7368160603,2460536.7181143616,2460537.1144800703,2460537.1335165086,2460537.152219167
2024-08-15,2460537.755262422,2460537.7362754736,2460537.717612391,2460538.114790616,2460538.1337802634,2460538.152445041
2024-08-16,2460538.7546691764,2460538.7357267323,2460538.7171019153,2460539.115096607,2460539.134039936,2460539.1526672523
2024-08-17,2460539.7540698308,2460539.735169729,2460539.716582794,2460540.115397909,2460540.134295434,2460540.1528857434
2024-08-18,2460540.753462862,2460540.734606424,2460540.716055269,2460541.1156945224,2460541.1345467893,2460541.1531005753
2024-08-19,2460541.752848622,2460541.734036965,2460541.715519632,2460542.1159864576,2460542.134794047,2460542.1533118226
2024-08-20,2460542.75222747,2460542.7334601083,2460542.7149761883,2460543.1162737426,2460543.135037267,2460543.153519573
2024-08-21,2460543.7515997672,2460543.732876184,2460543.714426645,2460544.116556421,2460544.135276523,2460544.1537239263
2024-08-22,2460544.750965876,2460544.732285523,2460544.713870739,2460545.116834542,2460545.1355118924,2460545.153924987
2024-08-23,2460545.750326155,2460545.7316884547,2460545.713307886,2460546.1171081546,2460546.135743453,2460546.1541228564
2024-08-24,2460546.74968096,2460546.7310853046,2460546.712738385,2460547.1173773026,2460547.135971275,2460547.154317628
2024-08-25,2460547.7490306417,2460547.7304763943,2460547.712162532,2460548.117640816,2460548.136195418,2460548.1545093865
2024-08-26,2460548.748375544,2460548.7298620385,2460548.7115806155,2460549.1178995655,2460549.136415932,2460549.154698204
2024-08-27,2460549.7477196124,2460549.7292425446,2460549.7109929193,2460550.1181540308,2460550.1366328592,2460550.1548841447
2024-08-28,2460550.747059768,2460550.728618215,2460550.7103997194,2460551.118404225,2460551.1368462383,2460551.155067269
2024-08-29,2460551.746396006,2460551.727990184,2460551.709801289,2460552.1186501617,2460552.137056107,2460552.1552476357
2024-08-30,2460552.745728641,2460552.727359661,2460552.709197896,2460553.1188918566,2460553.137262504,2460553.1554253013
2024-08-31,2460553.7450579824,2460553.726725075,2460553.708589809,2460554.11912933,2460554.137465471,2460554.1556003275
2024-09-01,2460554.7443843405,2460554.726086709,2460554.7079775133,2460555.1193626076,2460555.1376647465,2460555.155772778
2024-09-02,2460555.7437080215,2460555.725444848,2460555.707362555,2460556.1195917223,2460556.137860287,2460556.1559427218
2024-09-03,2460556.7430293313,2460556.724799775,2460556.706743607,2460557.119816714,2460557.1380526144,2460557.156110232
2024-09-04,2460557.7423485783,2460557.724151777,2460557.7061209367,2460558.1200376325,2460558.138241795,2460558.1562753925
2024-09-05,2460558.741666072,2460558.723501142,2460558.7054948155,2460559.120254536,2460559.138427901,2460559.15643829
2024-09-06,2460559.7409848208,2460559.7228481625,2460559.7048655166,2460560.120467494,2460560.138611016,2460560.156599022
2024-09-07,2460560.7403025357,2460560.7221931326,2460560.70423332,2460561.1206765813,2460561.138791228,2460561.1567576905
2024-09-08,2460561.739619286,2460561.7215363504,2460561.7035985063,2460562.1208818867,2460562.1389686367,2460562.1569144074
2024-09-09,2460562.7389353886,2460562.7208797913,2460562.7029613648,2460563.1210835073,2460563.1391433496,2460563.1570692924
2024-09-10,2460563.738251164,2460563.7202221383,2460563.7023221874,2460564.1212815507,2460564.139315485,2460564.157222474
2024-09-11,2460564.7375669377,2460564.7195635294,2460564.701681274,2460565.1214761366,2460565.1394851706,2460565.15737409
