instrument,utctime,id,star_id,observation_id,isjunk,id,exposure_time,sky_fiber_obj,cal_fiber_obj,sci_fiber_obj,observation_id,agitator_status,cal_source,cameras_triggered,elapsed_time_green,elapsed_time_red,frame_number,green_active,hk_active,lfc_mode,observation_mode,observation_type,open_shutters,red_active,sci_fw_pos,shutters_triggered,simul_fw_pos,source_shutters,exp_active,green_acf,program,red_acf,bias_file,dark_file,flat_file,wls_file,flat_fiber_aperture,flat_fiber_lamp,object,drphash,drptag,gdrxrms,gdryrms,moonsep,snrcl452,snrcl548,snrcl747,snrsc452,snrsc548,snrsc747,sunalt,wls_file2,datapr2d,isgood,monotwls,totcorr,kpfera
kpf,2025-07-02 15:13:43.972000+00:00,4813199,219134,KP.20250702.54801.46,False,503353,45.0,Sky,EtalonFiber,Target,4813199,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",45.021,45.021,418208,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 1.0,"Scrambler,SimulCal,Ca_HK",OD 0.3,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,219134,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,8.63,5.92,97.81,113.45,285.018,451.316,263.35,525.69,684.51,-7.8,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,8.2008e+07 1.6944e+08 1.6838e+08 1.2129e+08,3.0
kpf,2025-07-02 15:07:05.850000+00:00,4813198,217014,KP.20250702.54405.84,False,503352,40.0,Sky,EtalonFiber,Target,4813198,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",40.021,40.021,418207,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 0.1,"Scrambler,SimulCal,Ca_HK",OD 1.0,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,217014,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,6.69,6.53,75.64,17.74,51.502,33.587,287.569,512.996,590.548,-9.2,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,9.1224e+07 1.4555e+08 1.2791e+08 8.4584e+07,3.0
kpf,2025-07-02 15:05:37.358000+00:00,4813197,217014,KP.20250702.54317.35,False,503351,40.0,Sky,EtalonFiber,Target,4813197,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",40.02,40.02,418206,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 0.1,"Scrambler,SimulCal,Ca_HK",OD 1.0,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,217014,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,5.38,6.24,75.64,17.749,51.567,33.622,286.346,511.27,587.922,-9.5,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,9.1707e+07 1.4622e+08 1.2818e+08 8.4647e+07,3.0
kpf,2025-07-02 15:04:08.905000+00:00,4813196,217014,KP.20250702.54228.89,False,503350,40.0,Sky,EtalonFiber,Target,4813196,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",40.022,40.022,418205,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 0.1,"Scrambler,SimulCal,Ca_HK",OD 1.0,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,217014,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,4.54,5.68,75.64,17.548,51.515,33.804,293.48,521.306,596.957,-9.8,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,9.4978e+07 1.507e+08 1.3158e+08 8.6605e+07,3.0
kpf,2025-07-02 15:02:40.395000+00:00,4813195,217014,KP.20250702.54140.39,False,503349,40.0,Sky,EtalonFiber,Target,4813195,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",40.02,40.02,418204,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 0.1,"Scrambler,SimulCal,Ca_HK",OD 1.0,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,217014,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,5.54,6.33,75.64,17.753,51.398,33.627,287.182,511.823,589.177,-10.1,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,9.1111e+07 1.4548e+08 1.2785e+08 8.4599e+07,3.0
kpf,2025-07-02 14:58:43.788000+00:00,4813194,193664,KP.20250702.53893.78,False,503348,60.0,Sky,EtalonFiber,Target,4813194,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",60.021,60.021,418203,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 1.3,"Scrambler,SimulCal,Ca_HK",OD 0.1,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,193664,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,12.76,10.58,91.59,79.969,181.539,335.12,236.351,432.135,510.429,-10.9,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,6.9351e+07 1.1064e+08 9.9561e+07 6.6927e+07,3.0
kpf,2025-07-02 14:56:55.193000+00:00,4813193,193664,KP.20250702.53785.18,False,503347,60.0,Sky,EtalonFiber,Target,4813193,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",60.023,60.023,418202,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 1.3,"Scrambler,SimulCal,Ca_HK",OD 0.1,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,193664,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,12.62,9.76,91.59,79.217,180.993,334.876,242.846,443.18,523.116,-11.3,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,7.2892e+07 1.1625e+08 1.0455e+08 7.0263e+07,3.0
kpf,2025-07-02 14:55:06.467000+00:00,4813192,193664,KP.20250702.53676.46,False,503346,60.0,Sky,EtalonFiber,Target,4813192,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",60.019,60.019,418201,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 1.3,"Scrambler,SimulCal,Ca_HK",OD 0.1,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,193664,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,12.8,10.49,91.59,79.57,181.162,334.998,235.445,431.275,510.319,-11.7,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,6.8747e+07 1.1033e+08 9.9529e+07 6.6922e+07,3.0
kpf,2025-07-02 14:39:14.103000+00:00,4813190,KEPLER-106,KP.20250702.52154.09,False,503344,1200.0,Sky,EtalonFiber,Target,4813190,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",1200.018,1200.018,418199,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 4.0,"Scrambler,SimulCal,Ca_HK",OD 0.3,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,Kepler-106,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,20.81,18.89,69.77,33.217,88.071,173.565,44.89,81.205,96.879,-14.9,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,5.3878e+06 5.4814e+06 4.4762e+06 2.9454e+06,3.0
kpf,2025-07-02 14:26:21.899000+00:00,4813189,201091,KP.20250702.51951.89,False,503343,60.0,Sky,EtalonFiber,Target,4813189,Running,EtalonFiber,"Green,Red,Ca_HK,ExpMeter,Guide",60.021,60.021,418198,True,True,StandbyHigh,SPEC,Object,"Scrambler,SimulCal,Ca_HK",True,OD 0.1,"Scrambler,SimulCal,Ca_HK",OD 1.0,"SciSelect,SkySelect",True,regular-read-green.acf,U506,regular-read-red.acf,kpf_20250701_master_bias_autocal-bias.fits,kpf_20250701_master_dark_autocal-dark.fits,kpf_20250701_master_flat.fits,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,Blank,Off,201091,016ab3fc841b7e1bbef611711775f8601c046774,v2.10.3,7.12,6.16,70.28,19.692,62.22,45.609,327.917,701.757,1008.984,-17.4,/masters/20250630/kpf_20250630_master_WLS_autocal-lfc-all-eve_L1.fits,True,False,True,1.3647e+08 3.3109e+08 3.596e+08 2.8093e+08,3.0
