Date,Q1,Q2,Q3,Q4
2024-08-02,1,1,0,0
2024-08-03,0,0,1,1
2024-08-04,0,0,0,0
2024-08-05,0,1,1,1
2024-08-06,0,0,0,0
2024-08-07,0,1,1,1
2024-08-08,1,1,0,0
2024-08-09,1,1,0,0
2024-08-10,0,0,0,0
2024-08-11,0,0,0,1
2024-08-12,0,0,0,0
2024-08-13,0,0,0,0
2024-08-14,0,0,0,0
2024-08-15,1,1,1,1
2024-08-16,0,0,0,0
2024-08-17,0,0,1,1
2024-08-18,1,1,0,0
2024-08-19,0,1,1,1
2024-08-20,0,1,1,1
2024-08-21,1,1,0,0
2024-08-22,1,1,1,1
2024-08-23,0,0,0,0
2024-08-24,0,0,0,0
2024-08-25,0,0,0,0
2024-08-26,1,1,1,1
2024-08-27,1,1,1,1
2024-08-28,0,0,0,0
2024-08-29,1,1,1,1
2024-08-30,0,0,0,0
2024-08-31,1,1,0,0
2024-09-01,0,0,0,0
2024-09-02,0,0,0,0
2024-09-03,0,1,1,1
2024-09-04,0,0,0,0
2024-09-05,0,1,1,1
2024-09-06,0,0,0,0
2024-09-07,0,0,1,1
2024-09-08,0,0,0,0
2024-09-09,1,1,0,0
2024-09-10,0,0,0,0
2024-09-11,1,1,1,0
2024-09-12,0,0,0,0
2024-09-13,1,1,0,0
2024-09-14,0,0,1,1
2024-09-15,0,0,1,1
2024-09-16,0,0,0,0
2024-09-17,0,0,0,0
2024-09-18,1,1,1,1
2024-09-19,1,1,1,1
2024-09-20,1,1,1,1
2024-09-21,0,0,1,1
2024-09-22,1,1,1,1
2024-09-23,0,0,0,0
2024-09-24,1,1,0,0
2024-09-25,1,1,1,1
2024-09-26,1,1,1,1
2024-09-27,1,1,1,1
2024-09-28,1,1,1,1
2024-09-29,0,0,0,0
2024-09-30,0,0,0,0
2024-10-01,0,0,0,0
2024-10-02,1,1,1,1
2024-10-03,0,0,1,1
2024-10-04,0,0,0,0
2024-10-05,0,0,0,0
2024-10-06,0,0,0,0
2024-10-07,0,0,0,0
2024-10-08,0,0,0,0
2024-10-09,1,1,0,0
2024-10-10,0,0,0,0
2024-10-11,1,1,0,0
2024-10-12,1,1,0,0
2024-10-13,0,0,0,0
2024-10-14,1,1,1,1
2024-10-15,0,0,1,1
2024-10-16,0,0,0,0
2024-10-17,0,0,0,0
2024-10-18,1,1,0,0
2024-10-19,0,0,0,0
2024-10-20,1,1,0,0
2024-10-21,1,1,1,1
2024-10-22,1,1,1,1
2024-10-23,0,0,0,0
2024-10-24,0,0,0,0
2024-10-25,0,0,1,1
2024-10-26,0,0,1,1
2024-10-27,0,0,0,0
2024-10-28,0,0,0,0
