target,program_code,ra,dec,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_inter,tau_intra,weather_band_1,weather_band_2,weather_band_3,unique_id,jmag,gmag,teff,pmra,pmdec,epoch,gaia_id,minimum_elevation,minimum_moon_separation,exp_meter_threshold,inactive,splan_weight
Star0000,Program1,332.95608,-19.98914,600,1,1,1,40,1,0,True,True,True,Star0000,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,False,1
Star0001,Program1,315.81177,-3.23392,600,1,1,1,40,1,0,True,True,True,Star0001,10.0,10.0,5800,0.0,0.0,2000.0,858859,33.0,33.0,1.6,False,1
Star0002,Program1,24.57802,28.99224,600,1,1,1,40,1,0,True,True,True,Star0002,10.0,10.0,5800,0.0,0.0,2000.0,758860,33.0,33.0,1.6,False,1
Star0003,Program1,119.61907,27.40011,600,1,1,1,40,1,0,True,True,True,Star0003,10.0,10.0,5800,0.0,0.0,2000.0,763477,33.0,33.0,1.6,False,1
Star0004,Program1,44.51288,5.64831,600,1,1,1,40,1,0,True,True,True,Star0004,10.0,10.0,5800,0.0,0.0,2000.0,980403,33.0,33.0,1.6,False,1
Star0005,Program1,172.06389,22.91815,600,1,1,1,40,1,0,True,True,True,Star0005,10.0,10.0,5800,0.0,0.0,2000.0,195900,33.0,33.0,1.6,False,1
Star0006,Program1,113.61056,4.99712,600,1,1,1,40,1,0,True,True,True,Star0006,10.0,10.0,5800,0.0,0.0,2000.0,176076,33.0,33.0,1.6,False,1
Star0007,Program1,170.32238,-13.59419,600,1,1,1,40,1,0,True,True,True,Star0007,10.0,10.0,5800,0.0,0.0,2000.0,14638,33.0,33.0,1.6,False,1
Star0008,Program1,40.98299,20.34887,600,1,1,1,40,1,0,True,True,True,Star0008,10.0,10.0,5800,0.0,0.0,2000.0,609920,33.0,33.0,1.6,False,2
Star0009,Program1,168.7649,64.88336,600,1,1,1,40,1,0,True,True,True,Star0009,10.0,10.0,5800,0.0,0.0,2000.0,366148,33.0,33.0,1.6,False,2
Star0010,Program1,153.05902,9.69216,600,1,1,1,40,1,0,True,True,True,Star0010,10.0,10.0,5800,0.0,0.0,2000.0,366613,33.0,33.0,1.6,False,2
Star0011,Program1,57.27565,-1.51094,600,1,1,1,40,1,0,True,True,True,Star0011,10.0,10.0,5800,0.0,0.0,2000.0,64101,33.0,33.0,1.6,False,2
Star0012,Program1,22.10373,26.14254,600,1,1,1,40,1,0,True,True,True,Star0012,10.0,10.0,5800,0.0,0.0,2000.0,829060,33.0,33.0,1.6,False,2
Star0013,Program1,148.16028,51.26641,600,1,1,1,40,1,0,True,True,True,Star0013,10.0,10.0,5800,0.0,0.0,2000.0,682331,33.0,33.0,1.6,False,2
Star0014,Program1,352.49979,85.77679,600,1,1,1,40,1,0,True,True,True,Star0014,10.0,10.0,5800,0.0,0.0,2000.0,170195,33.0,33.0,1.6,False,2
Star0015,Program1,302.31407,19.9385,600,1,1,1,40,1,0,True,True,True,Star0015,10.0,10.0,5800,0.0,0.0,2000.0,327720,33.0,33.0,1.6,False,2
Star0016,Program1,147.60668,14.3162,600,1,1,1,40,1,0,True,True,True,Star0016,10.0,10.0,5800,0.0,0.0,2000.0,188628,33.0,33.0,1.6,False,3
Star0017,Program1,77.66485,22.23443,600,1,1,1,40,1,0,True,True,True,Star0017,10.0,10.0,5800,0.0,0.0,2000.0,445402,33.0,33.0,1.6,False,3
Star0018,Program1,171.50581,37.77052,600,1,1,1,40,1,0,True,True,True,Star0018,10.0,10.0,5800,0.0,0.0,2000.0,261013,33.0,33.0,1.6,False,3
Star0019,Program1,101.37745,24.20005,600,1,1,1,40,1,0,True,True,True,Star0019,10.0,10.0,5800,0.0,0.0,2000.0,506356,33.0,33.0,1.6,False,3
Star0020,Program1,154.43504,-11.10956,600,1,1,1,40,1,0,True,True,True,Star0020,10.0,10.0,5800,0.0,0.0,2000.0,237788,33.0,33.0,1.6,False,3
Star0021,Program1,353.83965,14.78531,600,1,1,1,40,1,0,True,True,True,Star0021,10.0,10.0,5800,0.0,0.0,2000.0,262417,33.0,33.0,1.6,False,3
Star0022,Program1,141.24114,-17.57363,600,1,1,1,40,1,0,True,True,True,Star0022,10.0,10.0,5800,0.0,0.0,2000.0,431246,33.0,33.0,1.6,False,3
Star0023,Program1,168.29295,-15.43103,600,1,1,1,40,1,0,True,True,True,Star0023,10.0,10.0,5800,0.0,0.0,2000.0,699020,33.0,33.0,1.6,False,3
