target,program_code,ra,dec,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_inter,tau_intra,weather_band_1,weather_band_2,weather_band_3,unique_id,jmag,gmag,teff,pmra,pmdec,epoch,gaia_id,minimum_elevation,minimum_moon_separation,exp_meter_threshold,inactive,weight
Star0000,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0000,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0030,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0030,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0060,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0060,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0090,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0090,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0120,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0120,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0001,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0001,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0031,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0031,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0061,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0061,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0091,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0091,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0121,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0121,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0002,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0002,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0032,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0032,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0062,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0062,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0092,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0092,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0122,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0122,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0003,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0003,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0033,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0033,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0063,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0063,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0093,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0093,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0123,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0123,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0004,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0004,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0034,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0034,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0064,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0064,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0094,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0094,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
