unique_id,program_code,starname,ra,dec,exptime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,weather_band,gaia_id,teff,jmag,gmag,pmra,pmdec,epoch
68018ea6c5c74adfcae219e2,2025A_C202,HD 109358,188.4356010486,41.357478154,45,6,25,0,1,1,0.0,,DR3_1534011998572555776,5817,3.2,4.094672,-704.702,292.155,2000
68018ea6c5c74adfcae219e4,2025A_C202,HD 201091,316.7247482896,38.749417319,60,3,20,0,1,1,0.0,,DR3_1872046609345556480,4349,3.12,4.766713,4164.209,3249.614,2000
68018ea6c5c74adfcae219e5,2025A_C202,HD 219134,348.3207290015,57.168356618,45,3,20,0,1,1,0.0,,DR3_2009481748875806976,4746,3.86,5.231896,2074.414,294.452,2000
68018ea6c5c74adfcae219e6,2025A_C202,HD 201092,316.7302660185,38.742044033,60,3,20,0,1,1,0.0,,DR3_1872046574983497216,3992,3.55,5.450645,4105.976,3155.942,2000
68018ea6c5c74adfcae219e1,2025A_C202,HD 88230,152.8422497885,49.454236391,300,1,25,1,1,1,0.0,7.0,DR3_823773494718931968,4083,3.97,5.961174,-1363.287,-505.77,2000
68018ea6c5c74adfcae219df,2025A_C202,HD 95128,164.8665531308,40.430255715,75,6,25,0,1,1,0.0,,DR3_777254360337133312,5857,3.96,4.866588,-316.85,55.18,2000
68018ea6c5c74adfcae219de,2025A_C202,HD 34411,79.7853143746,40.099051411,90,6,20,1,1,1,0.0,,DR3_188771135583573504,5844,3.61,4.525885,520.569,-664.488,2000
68018ea6c5c74adfcae219dd,2025A_C202,HD 10476,25.6240105214,20.268512683,30,4,12,1,1,1,0.0,,DR3_96331172942614528,5197,3.83,4.99968,-300.737,-673.539,2000
68018ea6c5c74adfcae219dc,2025A_C202,HD 4614,12.2762274762,57.815177289,30,6,12,1,1,1,0.0,,DR3_425040000962559616,5879,2.37,3.320067,1078.609,-551.133,2000
68018ea6c5c74adfcae219e3,2025A_C202,HD 142373,238.1689210382,42.451517466,60,8,25,0,1,1,0.0,,DR3_1384195086792268800,5837,3.49,4.424265,438.839,629.541,2000
68018ea6c5c74adfcae219d9,2025A_C318,Gliese 12,3.9551763115,13.556198965,900,2,8,2,2,2,2.0,,DR3_2768048564768256512,3250,8.619,11.399355,618.065,329.446,J2000
68018ea6c5c74adfcae219a3,2025A_N052,TOI-1723,116.7971392278,68.476631204,351,1,2,0,1,1,2.0,,yes,6112,777,8.478,4.99,12.392,J2000
68018ea6c5c74adfcae219af,2025A_N052,TOI-1758,354.7430216949,75.685124123,636,1,2,0,1,1,2.0,,yes,5169,169,9.315,-82.745,24.976,J2000
68018ea6c5c74adfcae219ad,2025A_N052,TOI-1744,294.2910842779,60.881382466,392,1,24,0,1,1,2.0,,yes,6179,179,8.482,-1.529,-18.703,J2000
68018ea6c5c74adfcae219ac,2025A_N052,TOI-1184,272.2039476798,60.678190142,586,1,10,0,1,1,1.0,,yes,4534,534,8.981,65.056,138.044,J2000
68018ea6c5c74adfcae219ab,2025A_N052,TOI-1691,272.4061126272,86.859646299,473,1,28,0,1,1,2.0,,yes,5759,759,8.935,-25.372,161.794,J2000
68018ea6c5c74adfcae219aa,2025A_N052,TOI-1739,240.1773511349,83.258194951,500,1,2,0,1,1,1.0,,yes,4814,814,8.982,-132.782,107.756,J2000
68018ea6c5c74adfcae219a9,2025A_N052,TOI-1180,214.5530936091,82.194042963,652,1,24,0,1,1,1.0,,yes,4738,738,9.237,84.568,-64.759,J2000
68018ea6c5c74adfcae219a8,2025A_N052,TOI-1777,151.8070361588,46.114975976,249,1,2,0,1,1,2.0,,yes,5777,859,8.124,-0.675,-21.965,J2000
68018ea6c5c74adfcae219a7,2025A_N052,TOI-1772,156.8379095411,34.391031296,390,1,12,0,1,1,1.0,,yes,5874,583,8.737,-39.385,-18.935,J2000
68018ea6c5c74adfcae219b0,2025A_N052,TOI-1630,352.0167664631,75.552755239,284,1,2,0,1,1,1.0,,yes,5504,504,8.357,-5.258,-34.46,J2000
68018ea6c5c74adfcae219b1,2025A_N052,TOI-1716,105.082930185,56.824434171,290,1,12,0,1,1,1.0,,yes,5690,878.6,8.265,50.706,-55.752,J2000
68018ea6c5c74adfcae21a0d,2025A_N056,TOI-2079,185.3393980256,57.752466795,600,1,20,2,1,1,0.0,,DR3_1575015639029998080,3679,9.463,11.950216,-149.278,-23.939,J2000
68018ea6c5c74adfcae21a0c,2025A_N056,TOI-2274,277.4593953355,40.541032589,600,1,15,1,1,1,0.0,,DR3_2110345512468201344,3975,9.191,11.271119,-14.872,88.032,J2000
68018ea6c5c74adfcae21a0e,2025A_N056,TOI-1466,307.3958850282,61.550432905,600,1,15,1,1,1,0.0,,DR3_2194906653958216704,4201,9.957,11.790465,71.577,67.89,J2000
68018ea6c5c74adfcae21a10,2025A_N056,TOI-1748,270.7391694249,60.417325625,600,1,15,1,1,1,0.0,,DR2_2158715610251025152,4861,9.753,11.163507,16.149,72.594,J2000
68018ea6c5c74adfcae21aa2,2025A_N056,TOI-2470,70.4285485928,0,600,1,18,1,1,1,0.0,,DR2_3229561183184656768,4562,9.166,10.730287,-0.101,-5.13,J2000
68018ea6c5c74adfcae21a0b,2025A_N056,TOI-1346,256.6229145705,68.842916403,600,1,34,1,1,1,0.0,,DR2_1636979235288735744,4950,9.909,11.301618,-20.053,89.812,J2000
68018ea6c5c74adfcae21aa3,2025A_N056,TOI-1432,329.4015646293,36.321593099,600,1,18,1,1,1,0.0,,DR3_1949538745753745408,5587,8.811,9.930989,42.546,-43.924,J2000
68018ea6c5c74adfcae21aa4,2025A_N056,K2-155,65.4686886441,21.353593855,600,1,5,1,1,1,0.0,,DR3_145333927996558976,4258,10.274,12.241566,200.181,-76.775,J2000
68018ea6c5c74adfcae219b3,2025A_N091,HD 157347,260.7136987864,-2.388177625,101,3,5,1,5,5,0.5,,DR2_4367026303085396352,5712,5.133,6.121606,48.702,-108.118,J2000
68018ea6c5c74adfcae219b4,2025A_N091,HD 144585,241.7640402389,-14.071297539,103,4,5,1,5,5,0.5,,DR2_4341501106288171008,5807,5.181,6.160456,-261.591,9.683,J2000
68018ea6c5c74adfcae219b6,2025A_N091,HD 126053,215.8136865608,1.241567019,98,2,5,1,5,5,0.5,,DR3_3654496279558010624,5714,5.053,6.092967,223.531,-478.275,J2000
