#starname:Star0097
#programcode:Program4
#Nobs_scheduled:6
#Nobs_desired:8
#Nobs_taken:0
#cadence:1
#q1_start:2025-01-31
#q1_end:2024-08-16
#q2_start:2024-12-12
#q2_end:2024-08-01
#q3_start:2024-10-20
#q3_end:2024-08-01
#q4_start:2024-08-27
#q4_end:2024-08-01
#current_day:2024-08-02
Date,Quarter,Allocated,Weathered,Observed,N_obs
2024-08-02,0.5,True,False,False,0
2024-08-02,1.5,True,False,False,0
2024-08-03,2.5,True,False,False,0
2024-08-03,3.5,True,False,False,0
2024-08-05,1.5,True,False,False,0
2024-08-05,2.5,True,False,False,0
2024-08-05,3.5,True,False,False,0
2024-08-07,1.5,True,False,False,0
2024-08-07,2.5,True,False,False,0
2024-08-07,3.5,True,False,False,0
2024-08-11,2.5,True,False,False,0
2024-08-11,3.5,True,False,False,0
2024-08-15,1.5,True,False,False,0
2024-08-15,2.5,True,False,False,0
2024-08-15,3.5,True,False,False,0
2024-08-17,0.5,True,False,True,1
2024-08-17,1.5,True,False,False,0
2024-08-17,2.5,True,False,False,0
2024-08-17,3.5,True,False,False,0
2024-08-18,0.5,True,False,False,0
2024-08-18,1.5,True,False,False,0
2024-08-19,1.5,True,False,False,0
2024-08-19,2.5,True,False,True,1
2024-08-19,3.5,True,False,False,0
2024-08-20,1.5,True,False,False,0
2024-08-20,2.5,True,False,True,1
2024-08-20,3.5,True,False,False,0
2024-08-21,0.5,True,False,False,0
2024-08-21,1.5,True,False,False,0
2024-08-22,0.5,True,False,False,0
2024-08-22,1.5,True,False,False,0
2024-08-22,2.5,True,False,False,0
2024-08-22,3.5,True,False,False,0
2024-08-26,2.5,True,False,False,0
2024-08-26,3.5,True,False,False,0
2024-08-27,0.5,True,False,False,0
2024-08-27,1.5,True,False,False,0
2024-08-27,2.5,True,False,False,0
2024-08-27,3.5,True,False,False,0
2024-08-29,2.5,True,False,False,0
2024-08-29,3.5,True,False,False,0
2024-08-31,0.5,True,False,False,0
2024-08-31,1.5,True,False,False,0
2024-09-03,0.5,True,False,False,0
2024-09-03,1.5,True,False,False,0
2024-09-03,2.5,True,False,False,0
2024-09-03,3.5,True,False,False,0
2024-09-05,2.5,True,False,False,0
2024-09-05,3.5,True,False,False,0
2024-09-07,2.5,True,False,False,0
2024-09-07,3.5,True,False,False,0
2024-09-09,0.5,True,False,False,0
2024-09-09,1.5,True,False,False,0
2024-09-11,0.5,True,False,False,0
2024-09-11,1.5,True,False,False,0
2024-09-11,2.5,True,False,False,0
2024-09-13,0.5,True,False,False,0
2024-09-13,1.5,True,False,False,0
2024-09-14,2.5,True,False,False,0
2024-09-14,3.5,True,False,False,0
2024-09-15,0.5,True,False,False,0
2024-09-15,1.5,True,False,False,0
2024-09-15,2.5,True,False,False,0
2024-09-15,3.5,True,False,False,0
2024-09-18,0.5,True,False,False,0
2024-09-18,1.5,True,False,False,0
2024-09-18,2.5,True,False,True,1
2024-09-18,3.5,True,False,False,0
2024-09-19,0.5,True,False,False,0
2024-09-19,1.5,True,False,False,0
2024-09-19,2.5,True,False,False,0
2024-09-19,3.5,True,False,False,0
2024-09-20,0.5,True,False,False,0
2024-09-20,1.5,True,False,False,0
2024-09-20,2.5,True,False,False,0
2024-09-20,3.5,True,False,False,0
2024-09-21,2.5,True,False,False,0
2024-09-21,3.5,True,False,False,0
2024-09-22,0.5,True,False,False,0
2024-09-22,1.5,True,False,False,0
2024-09-22,2.5,True,False,False,0
2024-09-22,3.5,True,False,False,0
2024-09-23,0.5,True,False,False,0
2024-09-23,1.5,True,False,False,0
2024-09-23,2.5,True,False,False,0
2024-09-23,3.5,True,False,False,0
2024-09-24,0.5,True,False,False,0
2024-09-24,1.5,True,False,False,0
2024-09-25,2.5,True,False,False,0
2024-09-25,3.5,True,False,False,0
2024-10-02,0.5,True,False,False,0
2024-10-02,1.5,True,False,False,0
2024-10-02,2.5,True,False,False,0
2024-10-02,3.5,True,False,False,0
2024-10-03,3.5,True,False,False,0
2024-10-09,0.5,True,False,False,0
2024-10-09,1.5,True,False,False,0
2024-10-11,0.5,True,False,False,0
2024-10-11,1.5,True,False,False,0
2024-10-11,2.5,True,False,False,0
2024-10-11,3.5,True,False,False,0
2024-10-12,0.5,True,False,False,0
2024-10-12,1.5,True,False,True,1
2024-10-13,2.5,True,False,False,0
2024-10-13,3.5,True,False,False,0
2024-10-14,0.5,True,False,False,0
2024-10-14,1.5,True,False,False,0
2024-10-14,2.5,True,False,False,0
2024-10-14,3.5,True,False,False,0
2024-10-15,2.5,True,False,False,0
2024-10-15,3.5,True,False,False,0
2024-10-18,0.5,True,False,False,0
2024-10-18,1.5,True,False,True,1
2024-10-18,2.5,True,False,False,0
2024-10-18,3.5,True,False,False,0
2024-10-19,2.5,True,False,False,0
2024-10-19,3.5,True,False,False,0
2024-10-20,0.5,True,False,False,0
2024-10-20,1.5,True,False,False,0
2024-10-21,0.5,True,False,False,0
2024-10-21,1.5,True,False,False,0
2024-10-21,2.5,True,False,False,0
2024-10-21,3.5,True,False,False,0
2024-10-22,0.5,True,False,False,0
2024-10-22,1.5,True,False,False,0
2024-10-25,2.5,True,False,False,0
2024-10-25,3.5,True,False,False,0
2024-10-26,2.5,True,False,False,0
2024-10-26,3.5,True,False,False,0
2024-11-25,0.5,True,False,False,0
2024-11-25,1.5,True,False,False,0
2024-11-28,2.5,True,False,False,0
2024-11-28,3.5,True,False,False,0
2024-11-30,0.5,True,False,False,0
2024-11-30,1.5,True,False,False,0
2024-11-30,2.5,True,False,False,0
2024-11-30,3.5,True,False,False,0
2024-12-03,0.5,True,False,False,0
2024-12-03,1.5,True,False,False,0
2024-12-03,2.5,True,False,False,0
2024-12-03,3.5,True,False,False,0
2024-12-05,0.5,True,False,False,0
2024-12-05,1.5,True,False,False,0
2024-12-05,2.5,True,False,False,0
2024-12-05,3.5,True,False,False,0
2024-12-06,0.5,True,False,False,0
2024-12-08,0.5,True,False,False,0
2024-12-10,2.5,True,False,False,0
2024-12-10,3.5,True,False,False,0
2024-12-11,0.5,True,False,False,0
2024-12-11,1.5,True,False,False,0
2024-12-11,2.5,True,False,False,0
2024-12-11,3.5,True,False,False,0
2024-12-14,3.5,True,False,False,0
2024-12-16,2.5,True,False,False,0
2024-12-16,3.5,True,False,False,0
2024-12-19,0.5,True,False,False,0
2024-12-19,1.5,True,False,False,0
2024-12-19,2.5,True,False,False,0
2024-12-19,3.5,True,False,False,0
2024-12-20,3.5,True,False,False,0
2024-12-21,3.5,True,False,False,0
2024-12-25,0.5,True,False,False,0
2024-12-25,1.5,True,False,False,0
2025-01-03,0.5,True,False,False,0
2025-01-06,0.5,True,False,False,0
2025-01-06,1.5,True,False,False,0
2025-01-07,0.5,True,False,False,0
2025-01-07,1.5,True,False,False,0
2025-01-08,2.5,True,False,False,0
2025-01-08,3.5,True,False,False,0
2025-01-09,3.5,True,False,False,0
2025-01-11,2.5,True,False,False,0
2025-01-17,0.5,True,False,False,0
2025-01-17,1.5,True,False,False,0
2025-01-17,2.5,True,False,False,0
2025-01-17,3.5,True,False,False,0
2025-01-21,2.5,True,False,False,0
2025-01-21,3.5,True,False,False,0
2025-01-23,0.5,True,False,False,0
