program_code,target,unique_id,ra,dec,exptime,maxtime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,minimum_elevation,minimum_moon_separation,priority,bucket,timing_class,az_mid,alt_mid,frac_first,frac_last
ADV_S,adv_s_00,ADV000,146.0,-24.52088,600,600,1,1,1,1,1,0.0,18,0,10,S,set,231.1,22.3,0.0,0.076
ADV_S,adv_s_01,ADV001,155.0,-31.22243,600,600,1,1,1,1,1,0.0,18,0,10,S,set,221.2,22.9,0.0,0.105
ADV_S,adv_s_02,ADV002,152.0,-22.82804,600,600,1,1,1,1,1,0.0,18,0,10,S,set,231.3,25.0,0.0,0.133
ADV_S,adv_s_03,ADV003,158.0,-26.05264,600,600,1,1,1,1,1,0.0,18,0,10,S,set,225.9,25.8,0.0,0.162
ADV_S,adv_s_04,ADV004,174.0,-38.11645,600,600,1,1,1,1,1,0.0,18,0,10,S,set,207.2,24.6,0.0,0.19
ADV_S,adv_s_05,ADV005,162.0,-20.48755,600,600,1,1,1,1,1,0.0,18,0,10,S,set,230.6,29.5,0.0,0.219
ADV_S,adv_s_06,ADV006,169.0,-24.77721,600,600,1,1,1,1,1,0.0,18,0,10,S,set,223.3,30.2,0.0,0.248
ADV_S,adv_s_07,ADV007,330.0,-24.27871,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,155.8,42.1,0.752,1.0
ADV_S,adv_s_08,ADV008,338.0,-37.43773,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,157.1,28.0,0.781,1.0
ADV_S,adv_s_09,ADV009,336.0,-30.99228,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,157.8,35.4,0.819,1.0
ADV_S,adv_s_10,ADV010,342.0,-32.58404,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,154.9,32.5,0.848,1.0
ADV_S,adv_s_11,ADV011,351.0,-21.4647,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,141.4,38.6,0.886,1.0
ADV_S,adv_s_12,ADV012,348.0,-27.1227,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,150.2,36.6,0.914,1.0
ADV_S,adv_s_13,ADV013,358.0,-23.54477,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,140.9,35.5,0.952,1.0
ADV_S,adv_s_14,ADV014,202.0,-31.13172,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,202.8,34.8,0.0,0.457
ADV_S,adv_s_15,ADV015,210.0,-35.45523,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,195.2,32.6,0.0,0.486
ADV_S,adv_s_16,ADV016,215.0,-28.9083,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,198.5,38.6,0.0,0.571
ADV_S,adv_s_17,ADV017,236.0,-38.72365,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,181.0,31.4,0.01,0.648
ADV_S,adv_s_18,ADV018,232.0,-23.44738,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.3,45.3,0.019,0.724
ADV_S,adv_s_19,ADV019,236.0,-27.36671,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.2,41.3,0.086,0.733
ADV_S,adv_s_20,ADV020,244.0,-24.83825,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.0,44.0,0.114,0.81
ADV_S,adv_s_21,ADV021,252.0,-32.90948,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,187.8,36.7,0.171,0.819
ADV_S,adv_s_22,ADV022,256.0,-20.58604,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.9,48.3,0.171,0.924
ADV_S,adv_s_23,ADV023,261.0,-22.13758,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.4,46.8,0.219,0.952
ADV_S,adv_s_24,ADV024,267.0,-24.43233,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.0,44.5,0.286,0.981
ADV_S,adv_s_25,ADV025,279.0,-36.10723,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,183.9,34.0,0.352,0.99
ADV_S,adv_s_26,ADV026,284.0,-30.66558,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,185.3,39.3,0.429,1.0
ADV_S,adv_s_27,ADV027,304.0,-39.12392,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,171.5,30.5,0.514,1.0
ADV_S,adv_s_28,ADV028,305.0,-36.91421,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,171.8,32.8,0.543,1.0
ADV_N,adv_n_00,ADV029,123.0,33.66098,600,600,1,1,1,1,1,0.0,18,0,10,N,set,299.1,22.8,0.0,0.076
ADV_N,adv_n_01,ADV030,126.0,34.89524,600,600,1,1,1,1,1,0.0,18,0,10,N,set,300.3,23.8,0.0,0.105
ADV_N,adv_n_02,ADV031,129.0,39.35019,600,600,1,1,1,1,1,0.0,18,0,10,N,set,305.0,25.2,0.0,0.133
