program_code,target,unique_id,ra,dec,exptime,maxtime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,minimum_elevation,minimum_moon_separation,priority,bucket,az_center,alt_center,window_start_ut,window_end_ut
ADV_S,adv_s_01,ADV000,194.5,-20.0,600,600,1,1,1,1,1,0.0,18,0,10,S,179.85,50.03,2026-06-12T05:43:36.207,2026-06-12T06:13:36.207
ADV_NW,adv_nw_01,ADV001,190.5,22.0,600,600,1,1,1,1,1,0.0,18,0,10,NW,290.29,83.83,2026-06-12T05:52:48.621,2026-06-12T06:22:48.621
ADV_S,adv_s_02,ADV002,199.0,-18.92857,600,600,1,1,1,1,1,0.0,18,0,10,S,180.02,51.1,2026-06-12T06:02:01.034,2026-06-12T06:32:01.034
ADV_NW,adv_nw_02,ADV003,195.5,22.57143,600,600,1,1,1,1,1,0.0,18,0,10,NW,296.52,83.95,2026-06-12T06:11:13.448,2026-06-12T06:41:13.448
ADV_S,adv_s_03,ADV004,203.75,-17.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,179.81,52.18,2026-06-12T06:20:25.862,2026-06-12T06:50:25.862
ADV_NW,adv_nw_03,ADV005,199.75,23.14286,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.85,83.39,2026-06-12T06:29:38.276,2026-06-12T06:59:38.276
ADV_S,adv_s_04,ADV006,208.25,-16.78571,600,600,1,1,1,1,1,0.0,18,0,10,S,179.98,53.25,2026-06-12T06:38:50.690,2026-06-12T07:08:50.690
ADV_NW,adv_nw_04,ADV007,203.25,23.71429,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.12,82.22,2026-06-12T06:48:03.103,2026-06-12T07:18:03.103
ADV_S,adv_s_05,ADV008,212.75,-15.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,180.17,54.33,2026-06-12T06:57:15.517,2026-06-12T07:27:15.517
ADV_NW,adv_nw_05,ADV009,206.5,24.28571,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.75,80.84,2026-06-12T07:06:27.931,2026-06-12T07:36:27.931
ADV_S,adv_s_06,ADV010,217.5,-14.64286,600,600,1,1,1,1,1,0.0,18,0,10,S,179.95,55.41,2026-06-12T07:15:40.345,2026-06-12T07:45:40.345
ADV_NW,adv_nw_06,ADV011,210.0,24.85714,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.11,79.67,2026-06-12T07:24:52.759,2026-06-12T07:54:52.759
ADV_S,adv_s_07,ADV012,222.0,-13.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,180.15,56.49,2026-06-12T07:34:05.172,2026-06-12T08:04:05.172
ADV_NW,adv_nw_07,ADV013,213.25,25.42857,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.97,78.3,2026-06-12T07:43:17.586,2026-06-12T08:13:17.586
ADV_S,adv_s_08,ADV014,226.75,-12.5,600,600,1,1,1,1,1,0.0,18,0,10,S,179.91,57.57,2026-06-12T07:52:30.000,2026-06-12T08:22:30.000
ADV_NW,adv_nw_08,ADV015,216.5,26.0,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.93,76.94,2026-06-12T08:01:42.414,2026-06-12T08:31:42.414
ADV_S,adv_s_09,ADV016,231.25,-11.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,180.12,58.65,2026-06-12T08:10:54.828,2026-06-12T08:40:54.828
ADV_NW,adv_nw_09,ADV017,219.75,26.57143,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.97,75.58,2026-06-12T08:20:07.241,2026-06-12T08:50:07.241
ADV_S,adv_s_10,ADV018,236.0,-10.35714,600,600,1,1,1,1,1,0.0,18,0,10,S,179.87,59.73,2026-06-12T08:29:19.655,2026-06-12T08:59:19.655
