Comprehensive ACS/MILP (full-band1, 58 targets)
  night      : 2026-06-12T05:54:00.000 -> 2026-06-12T14:48:00.000
  ACS        : 30.0s per start (parallel)   MIPGap: 0.005

run                                             sched     phys      mod     gap      obj  acs s  milp s
-------------------------------------------------------------------------------------------------------
two plain                                       58/58   45.51    48.01   1.78%   562.77    nan   120.0
two acs_seed (acs 32s, seed 563.7)              58/58   31.60    33.50   1.34%   565.19  31.6   120.0
two acs_only                                    58/58   36.48    42.18     nan   563.74  31.6     1.4
single acs_only                                 58/58   53.03    58.38     nan   560.54  31.6     0.0
two acs8_120 (acs 32s, seed 564.0)              58/58   30.95    33.57   1.39%   565.18  31.8   120.0
two acs8_570 (acs 32s, seed 564.0)              58/58   30.33    31.82   1.27%   565.47  31.9   570.0
two acs8_120_nb100 (acs 32s, seed 564.2)        58/58   31.40    33.00   1.36%   565.27  32.1   120.0
single acs_seed (acs 32s, seed 560.5)           58/58   40.54    43.26   1.69%   563.56  31.7   120.0
single acs8_120 (acs 32s, seed 561.7)           58/58   36.77    43.46   1.69%   563.53  31.9   120.0
single acs8_570 (acs 32s, seed 561.7)           58/58   37.14    42.46   0.56%   563.69  32.0   570.0
