program_code,target,unique_id,ra,dec,exptime,maxtime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,minimum_elevation,minimum_moon_separation,weather_band_1,weather_band_2,weather_band_3,gaia_id,teff,jmag,Vmag,pmra,pmdec,epoch,exp_meter_threshold,inactive,decker,cell in/out?,priority,comments,t_visit_slots,tau_intra_slots,past_nights_observed,past_n_exposures,past_date_last_observed,desired_max_obs,absolute_max_obs
2026A_C364,T007148,T007148,254.147,22.56973333333333,1800,1800,1,16,1,1,1,1,30,30,True,True,False,none,none,none,12.9,0.0,0.0,2000.0,250k,False,C2,in,p1,,10,20,8,9,2026-06-07,8,16
2026A_N064,K05176,K05176,290.43458333333336,40.77722222222222,180,360,1,1,1,1,1,1,30,30,True,True,True,,,none,13.52,0.0,0.0,2000.0,4k,False,C2,out,p3,,1,20,0,0,,1,1
2026A_N064,K07749,K07749,295.2729166666666,41.168055555555554,240,480,1,1,1,1,1,1,30,30,True,True,True,,,none,13.71,0.0,0.0,2000.0,4k,False,C2,out,p3,,2,20,0,0,,1,1
2026A_N064,K07847,K07847,289.73041666666666,43.49722222222222,1020,2040,1,1,1,1,1,1,30,30,True,True,True,,,none,15.29,0.0,0.0,2000.0,4k,False,C2,out,p3,,6,20,0,0,,1,1
2026A_N064,K05736,K05736,283.6733333333333,46.822500000000005,300,600,1,1,1,1,1,1,30,30,True,True,True,,,none,13.92,0.0,0.0,2000.0,4k,False,C2,out,p3,,2,20,0,0,,1,1
2026A_N064,K08249,K08249,294.63749999999993,39.65555555555555,120,240,1,1,1,1,1,1,30,30,True,True,True,,,none,12.8,0.0,0.0,2000.0,4k,False,C2,out,p3,,1,20,0,0,,1,1
2026A_N064,K05237,K05237,289.19999999999993,41.43055555555555,1440,2700,1,1,1,1,1,1,30,30,True,True,True,,,none,15.67,0.0,0.0,2000.0,4k,False,C2,out,p3,,8,20,0,0,,1,1
2026A_N064,K07735,K07735,285.36958333333325,40.907222222222224,180,360,1,1,1,1,1,1,30,30,True,True,True,,,none,13.23,0.0,0.0,2000.0,4k,False,C2,out,p3,,1,20,0,0,,1,1
2026A_N064,K05336,K05336,286.7975,42.42083333333333,180,360,1,1,1,1,1,1,30,30,True,True,True,,,none,13.54,0.0,0.0,2000.0,4k,False,C2,out,p3,,1,20,0,0,,1,1
2026A_N064,K05817,K05817,288.72625,47.906666666666666,180,360,1,1,1,1,1,1,30,30,True,True,True,,,none,13.39,0.0,0.0,2000.0,4k,False,C2,out,p3,,1,20,0,0,,1,1
2026A_N038,K00260,K00260,289.3475,44.20861111111111,282,1200,1,1,1,1,1,1,30,30,True,True,False,none,none,none,10.5,0.0,0.0,2000.0,250k,False,C2,in,p3,,2,20,0,0,,1,1
2026A_C417,K00321,K00321,291.8479166666666,44.96833333333333,1800,1800,1,1,1,1,1,1,30,30,True,True,False,none,none,none,12.5,0.0,0.0,2000.0,50k,False,C2,in,p2,,10,20,0,0,,1,1
2026A_N012,693,693,2.81625,-15.468055555555557,6,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,4.9,-82.828,-269.549,2000.0,250k,False,C2,in,p2,,1,0,0,0,,3,4
2026A_N012,4813,4813,12.531666666666665,-10.644444444444444,8,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,5.2,-228.031,-229.577,2000.0,250k,False,C2,in,p2,,1,0,0,0,,3,4
2026A_N012,78366,78366,137.21291666666664,33.882222222222225,16,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,5.9,-191.413,-114.63,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-05-29,2,3
2026A_N012,90839,90839,157.65666666666664,55.980555555555554,5,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,4.6,-177.045,-32.634,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-04-27,2,3
2026A_N012,102870,102870,177.67375,1.7647222222222223,1,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,3.3,740.746,-270.927,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-05-31,2,3
2026A_N012,109358,109358,188.43541666666667,41.3575,4,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,4.3,-704.702,292.155,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-03-02,2,3
2026A_N012,110897,110897,191.2475,39.278888888888886,17,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,6.0,-359.699,139.016,2000.0,250k,False,C2,in,p2,,1,0,1,2,2026-03-02,2,3
2026A_N012,114710,114710,197.9683333333333,27.878055555555555,3,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,4.2,-800.72,882.301,2000.0,250k,False,C2,in,p2,,1,0,0,0,,3,4
2026A_N012,131156B,131156B,222.8458333333333,19.101944444444445,44,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,7.0,133.376,-182.059,2000.0,250k,False,C2,in,p2,,2,0,1,3,2026-06-03,2,3
2026A_N012,140538A,140538A,236.0075,2.515277777777778,16,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,5.9,-42.431,-136.845,2000.0,250k,False,C2,in,p2,,1,0,0,0,,3,4
2026A_N012,149661,149661,249.08916666666667,-2.324722222222222,15,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,5.8,456.058,-309.224,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-04-30,2,3
2026A_N012,157214,157214,260.165,32.467777777777776,10,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,5.4,135.81,-1040.953,2000.0,250k,False,C2,in,p2,,1,0,0,0,,3,4
2026A_N012,158633,158633,261.25041666666664,67.30666666666666,25,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,6.4,-531.749,4.818,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-05-06,2,3
2026A_N012,165341A,165341A,271.3633333333333,2.500277777777778,3,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,4.0,206.525,-1107.492,2000.0,250k,False,C2,in,p2,,1,0,0,0,,3,4
2026A_N012,165341B,165341B,271.36458333333326,2.498888888888889,21,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,6.2,333.292,-1068.354,2000.0,250k,False,C2,in,p2,,1,0,1,3,2026-05-31,2,3
2026A_N012,201092,201092,316.73041666666666,38.74194444444444,17,600,3,3,1,1,1,0,30,30,True,True,False,none,none,none,6.0,4105.976,3155.942,2000.0,250k,False,C2,in,p2,,1,0,2,6,2026-05-29,1,2
2026A_U065,T003693,T003693,15.654583333333331,51.303888888888885,360,480,1,2,30,1,1,1,30,20,True,True,True,,,,11.9,0.0,0.0,2000.0,20k,False,C2,in,p2,,2,20,0,0,,2,3
2026A_U065,T003856,T003856,145.22291666666663,27.950277777777774,400,480,1,2,30,1,1,1,30,20,True,True,True,,,,12.1,0.0,0.0,2000.0,20k,False,C2,in,p2,,3,20,1,1,2026-04-19,1,2
2026A_U065,HIP79431,HIP79431,243.17424999999997,-18.876444444444445,1800,1800,1,1,30,1,1,0,30,30,True,True,False,Gaia DR3 6245870673116518400,none,none,11.4,0.0,0.0,2000.0,250k,False,C2,in,p2,,10,0,0,0,,1,1
2026A_U065,T002535,T002535,185.53,-24.94305555555556,1200,1200,1,14,1,1,1,0,25,30,True,True,False,3476765172730732032,5100,11.9,13.26,-69.0,-30.0,2000.0,30k,False,C2,in,p2,,7,0,0,0,,14,21
2026A_U260,GaiaDR3_1316739876629630464,GaiaDR3_1316739876629630464,240.462375,28.60713888888889,900,900,1,2,30,1,1,0,24,20,True,True,False,1316739876629630464,none,none,14.94636396,-2.71,-9.96,2016.0,4.4k,False,C2,out,p2,,5,0,0,0,,2,3
2026A_U260,GaiaDR3_1868454844147208704,GaiaDR3_1868454844147208704,317.5407916666667,36.09816666666667,1200,1200,1,2,30,1,1,0,24,20,True,True,False,1868454844147208704,none,none,15.26535787,-8.91,-15.73,2016.0,4.4k,False,C2,out,p2,,7,0,0,0,,2,3
2026A_U260,GaiaDR3_4431756408038376192,GaiaDR3_4431756408038376192,247.98199999999997,1.0651388888888889,800,800,1,2,30,1,1,0,24,20,True,True,False,4431756408038376192,none,none,14.8316779,-1.96,-5.79,2016.0,4.4k,False,C2,out,p2,,5,0,0,0,,2,3
2026A_U260,GaiaDR3_1861997897712632704,GaiaDR3_1861997897712632704,306.09370833333327,31.22461111111111,700,700,1,1,0,1,1,0,24,20,True,True,False,1861997897712632704,none,none,10.923,11.154,-33.05,2016.0,140k,False,C2,out,p1,,4,0,0,0,,1,1
2026A_U260,GaiaDR3_2162103068140857728,GaiaDR3_2162103068140857728,313.5802499999999,43.409638888888885,500,500,1,1,0,1,1,0,24,20,True,True,False,2162103068140857728,none,none,10.543,14.728,1.777,2016.0,140k,False,C2,out,p1,,3,0,0,0,,1,1
2026A_U260,GaiaDR3_1972949478614475520,GaiaDR3_1972949478614475520,325.383,43.39272222222222,400,400,1,1,0,1,1,0,24,20,True,True,False,1972949478614475520,none,none,10.39,25.168,20.082,2016.0,140k,False,C2,out,p1,,3,0,0,0,,1,1
2026A_U260,GaiaDR3_1835520283318364800,GaiaDR3_1835520283318364800,302.96287499999994,25.68477777777778,700,700,1,1,0,1,1,0,24,20,True,True,False,1835520283318364800,none,none,10.952,24.904,4.574,2016.0,140k,False,C2,out,p1,,4,0,0,0,,1,1
2026A_N127,TOI-5448,TOI-5448,169.99575,8.350249999999999,1200,1800,1,20,1,1,1,0,30,30,True,False,False,Gaia DR3 3818676111731630592,5366,11.4,12.9,-29.2,2.2,2000.0,30k,False,C2,in,p1,,7,0,1,1,2026-05-31,19,29
