dataset,n_targets,method,n_states,milp_s,acs_starts,acs_wall_s,acs_objective,acs_scheduled,acs_physical_slew,acs_modeled_slew,scheduled,n_requested,physical_slew,modeled_slew,objective,bound,gap_pct,milp_solve_s,nodes,solve_method,norel_heur_time,milp_time_limit
full-band1,58,single_milp_120,1,120,0,,,,,,58,58,53.66,58.73,560.19,572.04,2.12,120.0,3437,,,
full-band1,58,single_milp_600,1,600,0,,,,,,58,58,46.24,48.3,562.72,571.97,1.64,600.0,28807,,,
full-band1,58,single_acs8_120,1,120,8,32.7,561.7,58.0,43.17,51.64,58,58,36.69,43.6,563.5,573.06,1.7,120.0,2583,,,
full-band1,58,single_acs8_600,1,600,8,32.2,561.7,58.0,43.17,51.64,58,58,37.14,42.46,563.69,566.84,0.56,600.0,46820,,,
full-band1,58,single_norel_120,1,120,0,,,,,,58,58,44.86,48.27,562.73,572.43,1.72,90.2,134,norel+milp,30.0,90.0
full-band1,58,two_milp_120,2,120,0,,,,,,58,58,45.51,48.01,562.77,572.77,1.78,120.0,439,,,
full-band1,58,two_milp_600,2,600,0,,,,,,58,58,36.23,38.63,564.33,572.28,1.41,600.0,5945,,,
full-band1,58,two_acs8_120,2,120,8,32.6,564.03,58.0,34.68,38.05,58,58,30.95,33.84,565.13,573.01,1.39,120.0,1972,,,
full-band1,58,two_acs8_600,2,600,8,32.3,564.03,58.0,34.68,38.05,58,58,30.33,31.82,565.47,572.63,1.27,600.0,9319,,,
full-band1,58,two_norel_120,2,120,0,,,,,,58,58,41.68,44.66,563.33,573.21,1.75,90.0,218,norel+milp,30.0,90.0
sphere10,10,single_milp_120,1,120,0,,,,,,9,10,16.21,25.61,78.5,78.87,0.47,0.1,1,,,
sphere10,10,single_milp_600,1,600,0,,,,,,9,10,16.21,25.61,78.5,78.87,0.47,0.1,1,,,
sphere10,10,single_acs8_120,1,120,8,6.0,78.62,9.0,16.09,31.2,9,10,16.05,25.71,78.62,78.97,0.44,0.0,1,,,
sphere10,10,single_acs8_600,1,600,8,6.1,78.62,9.0,16.09,31.2,9,10,16.05,25.71,78.62,78.97,0.44,0.0,1,,,
sphere10,10,single_norel_120,1,120,0,,,,,,9,10,16.05,25.71,78.62,78.68,0.07,30.2,1,norel+milp,30.0,90.0
sphere10,10,two_milp_120,2,120,0,,,,,,9,10,15.83,17.94,79.92,80.32,0.5,0.1,1,,,
sphere10,10,two_milp_600,2,600,0,,,,,,9,10,15.83,17.94,79.92,80.32,0.5,0.1,1,,,
sphere10,10,two_acs8_120,2,120,8,5.5,78.82,9.0,16.11,20.01,9,10,15.87,17.94,79.92,80.14,0.27,0.1,1,,,
sphere10,10,two_acs8_600,2,600,8,5.5,78.82,9.0,16.11,20.01,9,10,15.87,17.94,79.92,80.14,0.27,0.1,1,,,
sphere10,10,two_norel_120,2,120,0,,,,,,9,10,16.09,17.94,79.92,80.14,0.27,30.2,1,norel+milp,30.0,90.0
sphere20,20,single_milp_120,1,120,0,,,,,,17,20,28.61,32.97,156.75,171.4,9.35,120.0,756868,,,
sphere20,20,single_milp_600,1,600,0,,,,,,17,20,28.42,32.97,156.75,166.18,6.02,600.0,4404248,,,
sphere20,20,single_acs8_120,1,120,8,32.3,156.75,17.0,28.6,39.0,17,20,28.61,32.97,156.75,170.97,9.07,120.0,773595,,,
sphere20,20,single_acs8_600,1,600,8,32.4,156.75,17.0,28.6,39.0,17,20,28.61,32.97,156.75,166.62,6.3,600.0,4513745,,,
sphere20,20,single_norel_120,1,120,0,,,,,,17,20,28.65,32.97,156.75,172.75,10.21,90.0,328153,norel+milp,30.0,90.0
sphere20,20,two_milp_120,2,120,0,,,,,,17,20,25.51,28.23,157.54,180.3,14.45,120.0,525460,,,
sphere20,20,two_milp_600,2,600,0,,,,,,17,20,25.52,28.23,157.54,178.69,13.43,600.0,2865334,,,
sphere20,20,two_acs8_120,2,120,8,32.4,157.51,17.0,25.6,26.06,17,20,25.6,28.23,157.54,179.99,14.25,120.0,509865,,,
sphere20,20,two_acs8_600,2,600,8,32.3,157.51,17.0,25.6,26.06,17,20,25.6,28.23,157.54,178.15,13.08,600.0,2836579,,,
sphere20,20,two_norel_120,2,120,0,,,,,,17,20,25.51,28.23,157.54,180.96,14.87,90.0,257684,norel+milp,30.0,90.0
sphere40,40,single_milp_120,1,120,0,,,,,,38,40,43.61,49.81,363.4,382.94,5.38,120.0,124484,,,
sphere40,40,single_milp_600,1,600,0,,,,,,38,40,38.16,44.39,365.2,381.49,4.46,600.0,820200,,,
sphere40,40,single_acs8_120,1,120,8,32.6,365.45,38.0,32.78,44.52,38,40,33.88,42.81,365.73,383.06,4.74,120.0,152080,,,
sphere40,40,single_acs8_600,1,600,8,32.5,365.45,38.0,32.78,44.52,38,40,32.92,42.81,365.73,382.39,4.56,600.0,927188,,,
sphere40,40,single_norel_120,1,120,0,,,,,,38,40,34.43,44.17,365.28,383.82,5.08,90.0,27117,norel+milp,30.0,90.0
sphere40,40,two_milp_120,2,120,0,,,,,,38,40,34.88,45.86,364.71,381.29,4.54,120.0,17856,,,
sphere40,40,two_milp_600,2,600,0,,,,,,38,40,34.88,45.86,364.71,381.12,4.5,600.2,316311,,,
sphere40,40,two_acs8_120,2,120,8,32.4,364.8,38.0,36.65,44.16,38,40,32.76,42.4,365.87,381.32,4.22,120.0,12762,,,
sphere40,40,two_acs8_600,2,600,8,32.5,364.8,38.0,36.65,44.16,38,40,31.09,41.81,365.93,381.15,4.16,600.0,298431,,,
sphere40,40,two_norel_120,2,120,0,,,,,,38,40,35.73,45.5,364.83,381.29,4.51,90.0,2781,norel+milp,30.0,90.0
sphere50,50,single_milp_120,1,120,0,,,,,,47,50,43.32,52.1,452.63,485.18,7.19,120.0,20014,,,
sphere50,50,single_milp_600,1,600,0,,,,,,47,50,40.59,48.18,453.94,484.53,6.74,600.0,182640,,,
sphere50,50,single_acs8_120,1,120,8,32.6,451.47,47.0,43.37,54.63,47,50,43.03,50.77,453.02,485.3,7.13,120.0,18560,,,
sphere50,50,single_acs8_600,1,600,8,32.9,451.47,47.0,43.37,54.63,47,50,43.03,50.77,453.02,484.46,6.94,600.0,244642,,,
sphere50,50,single_norel_120,1,120,0,,,,,,46,50,38.84,47.38,444.21,486.13,9.44,90.1,2414,norel+milp,30.0,90.0
sphere50,50,two_milp_120,2,120,0,,,,,,48,50,39.0,46.88,463.86,480.92,3.68,120.0,3883,,,
sphere50,50,two_milp_600,2,600,0,,,,,,48,50,40.17,46.09,464.13,480.72,3.58,600.0,102155,,,
sphere50,50,two_acs8_120,2,120,8,32.9,453.08,47.0,44.46,47.69,48,50,43.53,47.68,463.9,480.59,3.6,120.0,3697,,,
sphere50,50,two_acs8_600,2,600,8,32.8,453.08,47.0,44.46,47.69,48,50,43.53,47.68,463.9,480.41,3.56,600.0,91590,,,
sphere50,50,two_norel_120,2,120,0,,,,,,47,50,39.85,50.04,453.32,480.85,6.07,90.0,330,norel+milp,30.0,90.0
sphere75,75,single_milp_120,1,120,0,,,,,,71,75,52.38,64.11,688.63,735.95,6.87,120.0,374,,,
sphere75,75,single_milp_600,1,600,0,,,,,,72,75,46.69,53.22,702.26,734.96,4.66,600.0,24321,,,
sphere75,75,single_acs8_120,1,120,8,32.9,677.7,70.0,48.43,68.96,70,75,43.48,58.17,680.57,735.06,8.01,120.0,1359,,,
sphere75,75,single_acs8_600,1,600,8,32.9,677.7,70.0,48.43,68.96,71,75,50.17,66.2,687.93,734.59,6.78,600.0,25836,,,
sphere75,75,single_norel_120,1,120,0,,,,,,71,75,54.95,63.24,688.92,736.11,6.85,90.0,243,norel+milp,30.0,90.0
sphere75,75,two_milp_120,2,120,0,,,,,,70,75,52.79,71.81,675.71,729.18,7.91,120.0,655,,,
sphere75,75,two_milp_600,2,600,0,,,,,,71,75,54.31,64.1,688.63,728.96,5.86,600.0,11886,,,
sphere75,75,two_acs8_120,2,120,8,32.7,688.96,71.0,50.79,60.68,72,75,46.56,56.38,700.54,728.97,4.06,120.1,702,,,
sphere75,75,two_acs8_600,2,600,8,32.7,688.96,71.0,50.79,60.68,72,75,45.4,55.18,700.92,728.67,3.96,600.0,14395,,,
sphere75,75,two_norel_120,2,120,0,,,,,,71,75,54.04,60.1,689.83,729.07,5.69,90.0,312,norel+milp,30.0,90.0
sphere100,100,single_milp_120,1,120,0,,,,,,94,100,71.21,85.12,911.63,988.05,8.38,120.1,152,,,
sphere100,100,single_milp_600,1,600,0,,,,,,96,100,62.36,69.86,936.29,988.03,5.53,600.1,4115,,,
sphere100,100,single_acs8_120,1,120,8,32.8,913.85,94.0,68.47,82.38,96,100,64.19,71.83,936.06,987.97,5.55,120.1,141,,,
sphere100,100,single_acs8_600,1,600,8,32.8,913.85,94.0,68.47,82.38,97,100,60.29,67.56,947.4,987.95,4.28,600.1,3701,,,
sphere100,100,single_norel_120,1,120,0,,,,,,93,100,70.66,82.06,902.65,988.11,9.47,90.0,1,norel+milp,30.0,90.0
sphere100,100,two_milp_120,2,120,0,,,,,,91,100,79.42,89.27,877.87,977.81,11.38,120.0,1,,,
sphere100,100,two_milp_600,2,600,0,,,,,,95,100,62.87,76.06,924.56,977.57,5.73,600.1,2530,,,
sphere100,100,two_acs8_120,2,120,8,32.8,924.6,95.0,60.55,75.82,96,100,54.84,68.38,937.21,977.76,4.33,120.0,1,,,
sphere100,100,two_acs8_600,2,600,8,32.7,924.6,95.0,60.55,75.82,97,100,54.22,62.35,949.2,977.76,3.01,600.1,3232,,,
sphere100,100,two_norel_120,2,120,0,,,,,,93,100,76.26,89.76,900.07,978.37,8.7,90.0,1,norel+milp,30.0,90.0
sphere125,125,single_milp_120,1,120,0,,,,,,104,125,106.7,148.51,988.15,1233.21,24.8,120.1,1,,,
sphere125,125,single_milp_600,1,600,0,,,,,,120,125,70.51,81.43,1172.66,1232.56,5.11,600.1,383,,,
sphere125,125,single_acs8_120,1,120,8,33.3,1126.84,116.0,65.15,86.37,118,125,61.79,87.11,1150.45,1233.36,7.21,120.0,1,,,
sphere125,125,single_acs8_600,1,600,8,32.7,1126.84,116.0,65.15,86.37,119,125,50.37,58.29,1169.77,1232.92,5.4,600.1,260,,,
sphere125,125,single_norel_120,1,120,0,,,,,,112,125,100.98,119.42,1079.44,1234.03,14.32,90.0,1,norel+milp,30.0,90.0
sphere125,125,two_milp_120,2,120,0,,,,,,92,125,89.78,115.69,865.05,1238.41,43.16,120.0,1,,,
sphere125,125,two_milp_600,2,600,0,,,,,,115,125,86.3,96.93,1116.37,1236.87,10.79,600.1,46,,,
sphere125,125,two_acs8_120,2,120,8,33.5,1144.32,117.0,61.88,71.75,119,125,63.57,75.03,1164.34,1237.9,6.32,120.0,1,,,
sphere125,125,two_acs8_600,2,600,8,32.7,1144.32,117.0,61.88,71.75,123,125,63.66,71.33,1206.22,1237.14,2.56,600.1,85,,,
sphere125,125,two_norel_120,2,120,0,,,,,,113,125,100.43,117.72,1090.76,1238.41,13.54,90.0,1,norel+milp,30.0,90.0
