dataset,n_targets,method,norel_heur_time,milp_s,n_states,acs_starts,scheduled,n_requested,physical_slew,modeled_slew,objective,bound,gap_pct,milp_solve_s,wall_s,nodes,status,acs_wall_s
full-band1,58,single_milp_120,0.0,120,1,0,58,58,54.13,59.24,560.02,572.04,2.15,120.0,120.0,3065,9,
full-band1,58,single_milp_120,30.0,120,1,0,58,58,41.77,46.07,563.09,572.49,1.67,120.0,120.0,1326,9,
full-band1,58,single_milp_120,60.0,120,1,0,58,58,43.69,46.25,563.06,571.97,1.58,120.0,120.0,681,9,
full-band1,58,single_milp_120,120.0,120,1,0,58,58,43.12,45.77,563.14,574.44,2.01,120.0,120.0,0,9,
full-band1,58,two_milp_120,0.0,120,2,0,58,58,45.51,48.01,562.77,572.77,1.78,120.0,120.0,439,9,
full-band1,58,two_milp_120,30.0,120,2,0,58,58,41.2,43.8,563.47,572.86,1.67,120.0,120.0,225,9,
full-band1,58,two_milp_120,60.0,120,2,0,58,58,30.48,32.18,565.41,572.81,1.31,120.0,120.0,124,9,
full-band1,58,two_milp_120,120.0,120,2,0,58,58,30.16,31.58,565.51,574.74,1.63,120.0,120.0,0,9,
full-band1,58,two_acs8_120,0.0,120,2,8,58,58,30.95,33.84,565.13,573.01,1.39,120.0,120.0,1983,9,32.3
full-band1,58,two_acs8_120,30.0,120,2,8,58,58,30.17,31.59,565.51,572.68,1.27,120.1,120.1,296,9,32.1
full-band1,58,two_acs8_120,60.0,120,2,8,58,58,30.1,31.73,565.48,572.61,1.26,120.0,120.0,140,9,32.3
full-band1,58,two_acs8_120,120.0,120,2,8,58,58,30.18,31.54,565.51,574.75,1.63,120.0,120.0,0,9,32.4
