dataset,n_targets,method,norel_heur_time,milp_s,n_states,acs_starts,scheduled,n_requested,physical_slew,modeled_slew,objective,bound,gap_pct,milp_solve_s,wall_s,nodes,status,acs_wall_s
sphere100,100,single_milp_120,0.0,120,1,0,94,100,70.48,83.85,912.05,988.05,8.33,120.1,120.1,153,9,
sphere100,100,single_milp_120,30.0,120,1,0,93,100,71.92,86.37,901.21,987.36,9.56,120.0,120.0,4,9,
sphere100,100,single_milp_120,60.0,120,1,0,94,100,69.56,78.39,913.87,988.01,8.11,120.0,120.0,1,9,
sphere100,100,single_milp_120,120.0,120,1,0,95,100,69.07,77.36,923.92,989.74,7.12,120.0,120.0,0,9,
sphere100,100,two_milp_120,0.0,120,2,0,91,100,79.42,89.27,877.87,977.81,11.38,120.0,120.0,1,9,
sphere100,100,two_milp_120,30.0,120,2,0,94,100,76.77,85.86,911.38,977.97,7.31,120.0,120.0,1,9,
sphere100,100,two_milp_120,60.0,120,2,0,94,100,73.09,80.27,913.11,978.39,7.15,120.0,120.0,1,9,
sphere100,100,two_milp_120,120.0,120,2,0,94,100,71.87,79.29,913.45,989.05,8.28,120.1,120.1,0,9,
sphere100,100,two_acs8_120,0.0,120,2,8,95,100,66.31,78.59,923.8,977.69,5.83,120.0,120.0,1,9,32.4
sphere100,100,two_acs8_120,30.0,120,2,8,96,100,59.87,70.88,936.37,977.97,4.44,120.0,120.0,1,9,32.5
sphere100,100,two_acs8_120,60.0,120,2,8,96,100,59.96,70.8,936.4,978.17,4.46,120.0,120.0,1,9,32.7
sphere100,100,two_acs8_120,120.0,120,2,8,96,100,59.84,69.99,936.67,989.05,5.59,120.2,120.2,0,9,33.1
