Comprehensive ACS/MILP (sphere100, 100 targets)
  night      : 2026-02-01T05:03:02.620 -> 2026-02-01T16:07:40.493
  ACS        : 30.0s per start (parallel)   MIPGap: 0.005

run                                             sched     phys      mod     gap      obj  acs s  milp s
-------------------------------------------------------------------------------------------------------
two plain                                       91/100   79.42    89.27  11.38%   877.87    nan   120.0
two acs_seed (acs 32s, seed 899.5)              94/100   64.86    82.20   7.21%   912.01  31.7   120.0
two acs_only                                    93/100   69.07    91.42     nan   899.53  31.7     2.1
single acs_only                                 92/100   64.16    78.35     nan   891.27  31.6     0.1
two acs8_120 (acs 32s, seed 924.6)              96/100   54.84    68.38   4.33%   937.21  32.0   120.0
two acs8_570 (acs 32s, seed 924.6)              97/100   54.22    62.35   3.01%   949.20  32.3   570.1
two acs8_120_nb100 (acs 33s, seed 901.3)        94/100   63.71    76.61   6.94%   914.33  32.7   120.0
single acs_seed (acs 32s, seed 891.3)           95/100   67.68    77.26   6.72%   924.25  31.9   120.1
single acs8_120 (acs 32s, seed 913.8)           96/100   64.19    71.83   5.55%   936.06  31.8   120.1
single acs8_570 (acs 33s, seed 913.8)           97/100   60.29    67.56   4.28%   947.40  32.6   570.0
