Starname,Semester ID,Program_Code,Jmag,Gmag,Teff,SysRV,Simulcal,Nominal_ExpTime,Max_ExpTime,Total_Observations_Requested,N_Visits_per_Night,N_Unique_Nights_Per_Semester,Inter_Night_Cadence,Intra_Night_Cadence,N_Observations_per_Visit,Has Target Been Submitted Yet?,Epoch,pmDec,pmRA,Right Ascension [hourangle],Declination [dd:mm:ss],RA,Dec,Target State,Observing Notes,TIC_ID,UpdatedGaia,Rise Day of Semester,Set Day of Semester,Submittal Details,Target Status,Submitter,Total Observations Requested,Total Time for Target [hours],Total Time for Target [hours],Request Feasibility
Kepler-172,2024B_D368,D368,13.17,14.526,"5,615",0,yes,1200,1200,30,1,30,1,1,1,TRUE,J2000,4.46,0.854,18:53:28.4170433352,#N/A,283.368,41.822,TARGET_SUBMITTED,,No_TIC_Name,DR3_2104506319750394624,50,184,Passed all infeasibility checks,SUCCESS,Lauren Weiss,30,"43,200",12,TRUE
TOI-1716,2024B_N050,N050,8.265,9.248,"5,878",0,yes,290,290,24,1,24,1,1,1,TRUE,J2000,-55.752,50.706,07:00:19.9032443952,#N/A,105.083,56.824,TARGET_SUBMITTED,,No_TIC_Name,DR3_1000423609817438592,1,151,Passed all infeasibility checks,SUCCESS,Ian Crossfield,24,"12,720",3.53,TRUE
TOI-1723,2024B_N050,N050,8.478,9.542,"5,777",0,yes,351,351,24,1,24,1,1,1,TRUE,J2000,12.392,4.99,07:47:11.3134146816,#N/A,116.797,68.477,TARGET_SUBMITTED,,No_TIC_Name,DR3_1096515188009314688,1,151,Passed all infeasibility checks,SUCCESS,Ian Crossfield,24,"14,184",3.94,TRUE
TOI-5726,2024B_N050,N050,8.597,9.587,"5,874",0,yes,389,389,2,1,2,5,1,1,TRUE,J2000,-49.833,-44.667,08:13:34.9384339248,#N/A,123.396,68.575,TARGET_SUBMITTED,,No_TIC_Name,DR2_1097091022864217472,1,156,Passed all infeasibility checks,SUCCESS,Ian Crossfield,2,"1,258",0.35,TRUE
TOI-1777,2024B_N050,N050,8.124,9.161,"5,859",0,yes,249,249,2,1,2,5,1,1,TRUE,J2000,-21.965,-0.675,10:07:13.6886781168,#N/A,151.807,46.115,TARGET_SUBMITTED,,No_TIC_Name,DR2_810069697186043264,1,184,Passed all infeasibility checks,SUCCESS,Ian Crossfield,2,978,0.27,TRUE
TOI-1772,2024B_N050,N050,8.737,9.805,"5,583",0,yes,390,390,2,1,2,5,1,1,TRUE,J2000,-18.935,-39.385,10:27:21,#N/A,156.838,34.391,TARGET_SUBMITTED,,No_TIC_Name,DR2_749676822006222464,1,184,Passed all infeasibility checks,SUCCESS,Ian Crossfield,2,"1,260",0.35,TRUE
TOI-1180,2024B_N050,N050,9.237,10.744,"4,738",0,yes,652,652,2,1,2,5,1,1,TRUE,J2000,-64.759,84.568,14:18:12.7424661936,#N/A,214.553,82.194,TARGET_SUBMITTED,,No_TIC_Name,DR2_1722026764638625280,0,0,This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): number of nights needed is greater than target accessibility,SUCCESS,Ian Crossfield,2,"1,784",0.5,FALSE
TOI-1739,2024B_N050,N050,8.982,10.42,"4,814",0,yes,500,500,2,1,2,5,1,1,TRUE,J2000,107.756,-132.782,16:00:42.5642723688,#N/A,240.177,83.258,TARGET_SUBMITTED,,No_TIC_Name,DR2_1723044195148593152,0,0,This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): number of nights needed is greater than target accessibility,SUCCESS,Ian Crossfield,2,"1,480",0.41,FALSE
TOI-1184,2024B_N050,N050,8.981,10.623,"4,534",0,yes,586,586,2,1,2,5,1,1,TRUE,J2000,138.044,65.056,18:08:48.9474431424,#N/A,272.204,60.678,TARGET_SUBMITTED,,No_TIC_Name,DR3_2158781336134901760,43,184,Passed all infeasibility checks,SUCCESS,Ian Crossfield,2,"1,652",0.46,TRUE
TOI-1691,2024B_N050,N050,8.935,9.978,"5,759",0,yes,473,473,26,1,26,1,1,1,TRUE,J2000,161.794,-25.372,18:09:37.4670305232,#N/A,272.406,86.86,TARGET_SUBMITTED,,No_TIC_Name,DR3_2303587361109316224,0,0,This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): number of nights needed is greater than target accessibility,SUCCESS,Ian Crossfield,26,"18,538",5.15,FALSE
TOI-1744,2024B_N050,N050,8.482,9.398,"6,179",0,yes,392,392,2,1,2,5,1,1,TRUE,J2000,-18.703,-1.529,19:37:09.8602266840,#N/A,294.291,60.881,TARGET_SUBMITTED,,No_TIC_Name,DR3_2239296103032464768,68,184,Passed all infeasibility checks,SUCCESS,Ian Crossfield,2,"1,264",0.35,TRUE
TOI-2211,2024B_N050,N050,8.523,9.78,"5,253",0,yes,346,346,2,1,2,5,1,1,TRUE,J2000,-116.695,81.515,20:34:09.2836711800,-29:40:20,308.539,-29.672,TARGET_SUBMITTED,,No_TIC_Name,DR3_6796762076358897408,105,184,Passed all infeasibility checks,SUCCESS,Ian Crossfield,2,"1,172",0.33,TRUE
TOI-1630,2024B_N050,N050,8.357,9.488,"5,504",0,yes,284,284,26,1,26,1,1,1,TRUE,J2000,-34.46,-5.258,23:28:04,#N/A,352.017,75.553,TARGET_SUBMITTED,,No_TIC_Name,DR3_2233231540491361408,150,184,This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): target is observable for fewer nights than requested,SUCCESS,Ian Crossfield,26,"13,624",3.78,FALSE
TOI-1758,2024B_N050,N050,9.315,10.625,"5,169",0,yes,636,636,16,1,16,1,1,1,TRUE,J2000,24.976,-82.745,23:38:58.3252067664,#N/A,354.743,75.685,TARGET_SUBMITTED,,No_TIC_Name,DR3_2232494455385669760,154,184,This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): target is observable for fewer nights than requested,SUCCESS,Ian Crossfield,16,"14,016",3.89,FALSE
TOI-1432,2024B_N010,N010,8.811,9.931,"5,590",0,yes,600,600,30,1,30,2,1,1,TRUE,J2000,-43.924,42.546,21:57:36.3755110272,#N/A,329.402,36.322,TARGET_SUBMITTED,,No_TIC_Name,DR3_1949538745753745408,94,184,Passed all infeasibility checks,SUCCESS,Rafael Luque,30,"25,200",7,TRUE
TOI-2470,2024B_N010,N010,9.166,10.73,"4,560",0,yes,600,600,30,1,30,3,1,1,TRUE,J2000,-5.13,-0.101,04:41:42.8516622624,-0:36:00,70.4285417,0.59998,TARGET_SUBMITTED,,No_TIC_Name,DR2_3229561183184656768,1,114,Passed all infeasibility checks,SUCCESS,Rafael Luque,30,"25,200",7,TRUE
