,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-02-01,2024-02-01,2460341.7284789337,2460341.71026588,2460341.6918980544,2460342.153894756,2460342.1720860167,2460342.190430656
2024-02-02,2024-02-02,2460342.7288071457,2460342.7106171665,2460342.6922758655,2460343.1537475707,2460343.171915761,2460343.190234583
2024-02-03,2024-02-03,2460343.729131069,2460343.710963983,2460343.6926490758,2460344.153586277,2460344.171731592,2460344.1900247666
2024-02-04,2024-02-04,2460344.7294506826,2460344.71130627,2460344.693017588,2460345.1534109395,2460345.17153361,2460345.18980134
2024-02-05,2024-02-05,2460345.7297659675,2460345.7116439724,2460345.6933813086,2460346.1532216268,2460346.1713219197,2460346.189564441
2024-02-06,2024-02-06,2460346.7300769044,2460346.7119770353,2460346.693740144,2460347.1530184103,2460347.171096748,2460347.1893142066
2024-02-07,2024-02-07,2460347.7303834725,2460347.7123054,2460347.6940939995,2460348.1528013614,2460348.170858597,2460348.1890507755
2024-02-08,2024-02-08,2460348.7306856452,2460348.7126290067,2460348.694442778,2460349.152570549,2460349.1706070593,2460349.1887742803
2024-02-09,2024-02-09,2460349.7309833923,2460349.7129477896,2460349.6947858715,2460350.1523260404,2460350.1703422316,2460350.188484852
2024-02-10,2024-02-10,2460350.7312766816,2460350.7132616835,2460350.695123125,2460351.1520679034,2460351.1700642114,2460351.188182621
2024-02-11,2024-02-11,2460351.7315654866,2460351.7135706283,2460351.6954550673,2460352.1517962134,2460352.169773101,2460352.1878677206
2024-02-12,2024-02-12,2460352.731849791,2460352.713874576,2460352.695781619,2460353.1515110573,2460353.169469016,2460353.187540299
2024-02-13,2024-02-13,2460353.7321295976,2460353.7141734986,2460353.6961027198,2460354.1512125446,2460354.1691520913,2460354.187200521
2024-02-14,2024-02-14,2460354.732404931,2460354.7144673886,2460354.696418332,2460355.1509009874,2460355.168822486,2460355.186848576
2024-02-15,2024-02-15,2460355.7326758383,2460355.714756265,2460355.6967284437,2460356.1505767084,2460356.168480382,2460356.1864846745
2024-02-16,2024-02-16,2460356.7329423907,2460356.7150395913,2460356.697033069,2460357.1502395174,2460357.1681259805,2460357.186109046
2024-02-17,2024-02-17,2460357.73320468,2460357.715318041,2460357.697332244,2460358.149889608,2460358.167759502,2460358.1857219385
2024-02-18,2024-02-18,2460358.733462817,2460358.715591718,2460358.697626025,2460359.149527187,2460359.16738118,2460359.1853236104
2024-02-19,2024-02-19,2460359.733716928,2460359.715860723,2460359.697914488,2460360.149152474,2460360.1669912585,2460360.184914332
2024-02-20,2024-02-20,2460360.733967153,2460360.716125172,2460360.698197724,2460361.1487656985,2460361.1665899917,2460361.1844945364
2024-02-21,2024-02-21,2460361.734213644,2460361.716385193,2460361.698475837,2460362.148367098,2460362.16617764,2460362.184065131
2024-02-22,2024-02-22,2460362.734456563,2460362.7166409264,2460362.6987489443,2460363.147956917,2460363.1657544705,2460363.183625581
2024-02-23,2024-02-23,2460363.73469608,2460363.71689252,2460363.699017174,2460364.1475354065,2460364.165320755,2460364.1831761776
2024-02-24,2024-02-24,2460364.7349323425,2460364.7171401316,2460364.6992806615,2460365.1471028225,2460365.164876771,2460365.1827172125
2024-02-25,2024-02-25,2460365.7351653986,2460365.7173839253,2460365.6995395524,2460366.146659426,2460366.1644228077,2460366.182248982
2024-02-26,2024-02-26,2460366.7353956457,2460366.717624071,2460366.6997939968,2460367.1462054825,2460367.163959691,2460367.181771786
2024-02-27,2024-02-27,2460367.7356232763,2460367.717860742,2460367.700044151,2460368.1457412597,2460368.1634870945,2460368.181285924
2024-02-28,2024-02-28,2460368.7358484855,2460368.7180941147,2460368.700290174,2460369.1452670298,2460369.1630053045,2460369.1807916984
2024-02-29,2024-02-29,2460369.7360714674,2460369.7183243674,2460369.700532229,2460370.1447830666,2460370.1625146065,2460370.180289412
2024-03-01,2024-03-01,2460370.736292418,2460370.718551679,2460370.7007704787,2460371.144289649,2460371.16201529,2460371.1797793694
2024-03-02,2024-03-02,2460371.7365115313,2460371.718776229,2460371.7010050877,2460372.143787172,2460372.1615076438,2460372.179261874
2024-03-03,2024-03-03,2460372.7367289984,2460372.7189981923,2460372.701236218,2460373.143275709,2460373.160991958,2460373.1787372297
2024-03-04,2024-03-04,2460373.7369450056,2460373.7192177423,2460373.701463895,2460374.142755535,2460374.16046852,2460374.178205738
2024-03-05,2024-03-05,2460374.737159733,2460374.719435046,2460374.7016883264,2460375.142226924,2460375.1599376183,2460375.177667873
2024-03-06,2024-03-06,2460375.737373352,2460375.7196502616,2460375.7019097866,2460376.1416901476,2460376.1593995336,2460376.177124035
2024-03-07,2024-03-07,2460376.737586022,2460376.7198635372,2460376.7021284127,2460377.141145471,2460377.1588545428,2460377.1765741413
2024-03-08,2024-03-08,2460377.737797888,2460377.720075008,2460377.7023443296,2460378.140593151,2460378.1583029125,2460378.1760184653
2024-03-09,2024-03-09,2460378.738009083,2460378.7202847963,2460378.7025576513,2460379.140033438,2460379.1577449003,2460379.1754572704
2024-03-10,2024-03-10,2460379.7382197278,2460379.720493014,2460379.7027684813,2460380.139466575,2460380.1571807214,2460380.1748908134
2024-03-11,2024-03-11,2460380.738429938,2460380.7206997685,2460380.70297692,2460381.1388928043,2460381.1566105597,2460381.1743193464
2024-03-12,2024-03-12,2460381.7386398297,2460381.7209051684,2460381.7031830684,2460382.1383123756,2460382.1560346666,2460382.173743128
2024-03-13,2024-03-13,2460382.738849525,2460382.7211093283,2460382.703387036,2460383.1377255493,2460383.155453305,2460383.1731624263
2024-03-14,2024-03-14,2460383.7390591567,2460383.7213123757,2460383.7035889444,2460384.1371320947,2460384.1548667536,2460384.1725775227
2024-03-15,2024-03-15,2460384.73926887,2460384.7215144727,2460384.7037889296,2460385.1365325376,2460385.1542753046,2460385.1719887136
2024-03-16,2024-03-16,2460385.739478824,2460385.7217158736,2460385.7039871435,2460386.1359273265,2460386.1536792633,2460386.1713963063
2024-03-17,2024-03-17,2460386.7396891904,2460386.7219166667,2460386.70418375,2460387.1353167766,2460387.153078945,2460387.1708005234
2024-03-18,2024-03-18,2460387.7399001485,2460387.72211703,2460387.704378925,2460388.13470121,2460388.152474673,2460388.170201628
2024-03-19,2024-03-19,2460388.740111887,2460388.722317151,2460388.704572854,2460389.134080957,2460389.151866776,2460389.1695999946
2024-03-20,2024-03-20,2460389.7403245987,2460389.7225172203,2460389.7047657287,2460390.1334563517,2460390.151255585,2460390.1689959522
