Date,StartTime,EndTime,start,stop,PI,Instrument,ProjCode,comment
2026-08-01,05:50,15:06,2026-08-02T05:50,2026-08-02T15:06,Erik Petigura,HIRESr,U252,
2026-08-03,10:28,15:07,2026-08-04T10:28,2026-08-04T15:07,Yapeng Zhang,HIRESr,C275,
2026-08-05,10:28,15:08,2026-08-06T10:28,2026-08-06T15:08,Malena Rice,HIRESr,Y063,
2026-08-06,08:07,15:09,2026-08-07T08:07,2026-08-07T15:09,Ryan Foley,HIRESr,U258,
2026-08-10,05:44,10:27,2026-08-11T05:44,2026-08-11T10:27,Lauren Weiss,HIRESr,D466,
2026-08-14,05:41,15:12,2026-08-15T05:41,2026-08-15T15:12,Heather Knutson,HIRESr,C275,
2026-08-15,05:41,15:12,2026-08-16T05:41,2026-08-16T15:12,Heather Knutson,HIRESr,C275,
2026-08-16,05:40,15:13,2026-08-17T05:40,2026-08-17T15:13,Heather Knutson,HIRESr,C275,
2026-08-19,08:01,15:14,2026-08-20T08:01,2026-08-20T15:14,Ryan Foley,HIRESr,U258,
2026-08-20,05:37,10:26,2026-08-21T05:37,2026-08-21T10:26,Lauren Weiss,HIRESr,D466,
2026-08-28,06:00,10:23,2026-08-29T06:00,2026-08-29T10:23,Howard Isaacson,HIRESr,N062,
2026-08-30,05:28,10:22,2026-08-31T05:28,2026-08-31T10:22,Lauren Weiss,HIRESr,N144,
2026-09-03,05:24,10:22,2026-09-04T05:24,2026-09-04T10:22,Erik Petigura,HIRESr,U252,
2026-09-09,05:49,10:19,2026-09-10T05:49,2026-09-10T10:19,Howard Isaacson,HIRESr,N062,
2026-09-13,05:15,10:18,2026-09-14T05:15,2026-09-14T10:18,Daniel Huber,HIRESr,H402,
2026-09-18,05:10,10:16,2026-09-19T05:10,2026-09-19T10:16,Ryan Foley,HIRESr,U258,
2026-10-02,04:57,10:11,2026-10-03T04:57,2026-10-03T10:11,Howard Isaacson,HIRESr,N062,
2026-10-18,10:08,15:30,2026-10-19T10:08,2026-10-19T15:30,Josh Winn,HIRESr,N040,
2026-10-23,04:42,10:07,2026-10-24T04:42,2026-10-24T10:07,Ryan Foley,HIRESr,U258,
2026-10-29,10:06,15:33,2026-10-30T10:06,2026-10-30T15:33,Erik Petigura,HIRESr,U252,
2026-12-06,10:13,15:22,2026-12-07T10:13,2026-12-07T15:22,Lauren Weiss,HIRESr,N144,
2026-12-07,10:13,15:23,2026-12-08T10:13,2026-12-08T15:23,Lauren Weiss,HIRESr,N144,
2026-12-10,13:05,15:25,2026-12-11T13:05,2026-12-11T15:25,Lauren Weiss,HIRESr,N144,
2026-12-11,04:35,10:15,2026-12-12T04:35,2026-12-12T10:15,Daniel Huber,HIRESr,H402,
2026-12-13,04:36,10:16,2026-12-14T04:36,2026-12-14T10:16,Ryan Foley,HIRESr,U258,
2026-12-27,10:23,15:34,2026-12-28T10:23,2026-12-28T15:34,Lauren Weiss,HIRESr,N144,
2026-12-28,04:43,10:23,2026-12-29T04:43,2026-12-29T10:23,Ryan Foley,HIRESr,U258,
2027-01-15,04:54,10:31,2027-01-16T04:54,2027-01-16T10:31,Malena Rice,HIRESr,Y063,
2027-01-23,04:58,07:45,2027-01-24T04:58,2027-01-24T07:45,Lauren Weiss,HIRESr,N144,
