night_index,date,clear,visits_tonight,elapsed_s,shortfall_gap,shortfall_s,shortfall_objective,shortfall_optimal,balance_gap,balance_s,prioritize_gap,prioritize_s,fill-empty_gap,fill-empty_s,fill-current-day_gap,fill-current-day_s,program,awarded_hr,requested_hr,past_hr,proj_hr,fill,maff,fsf,fsf_frozen
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_C275,33.2,42.1,0.0,33.1,1.0,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_C362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_D466,9.5,11.1,0.0,9.6,1.0,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_E475,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_H402,10.7,14.4,0.0,11.4,1.06,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_N040,5.4,7.0,0.0,5.4,1.0,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_N062,14.1,18.9,0.0,14.3,1.01,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_N144,25.5,30.7,0.0,25.6,1.0,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_U252,19.7,22.6,0.0,19.7,1.0,1.0,0.0,0.0
0,2026-08-01,True,109,740,0.0,115,1001.0,True,0.62,300,720.49,60,1.0,60,0.0,10,2026B_U258,36.1,36.5,0.0,25.7,0.71,0.71,0.0,0.0
