Starname,Gaia_ID,TIC_ID,Program_Code,RA,Dec,pmRA,pmDec,Epoch,Jmag,Teff,Nominal_ExpTime,Max_ExpTime,Simulcal,Total_Observations_Requested,N_Observations_per_Visit,N_Visits_per_Night,Intra_Night_Cadence,N_Unique_Nights_Per_Semester,Inter_Night_Cadence,Total_Time_for_Target_Seconds,Total_Time_for_Target_Hours,Comment,Gmag,SysRV,UpdatedGaia,gaiadr3
19994,Gaia_DR2_3265335443260522112,TIC49845357,U252,48.19349,-1.1961,193.549,-68.888,J2000,4.17,6188,17,17,TRUE,2,1,1,0,2,1,514,0.14,,4.9,19.39,Gaia_DR2_3265335443260522112,Gaia_DR3_3265335443260522112
75732,Gaia_DR2_704967037090946688,TIC332064670,U252,133.14921,28.33082,-485.681,-233.517,J2000,4.59,5172,22,22,TRUE,11,1,1,0,11,1,2620,0.73,,5.7,27.39,Gaia_DR2_704967037090946688,Gaia_DR3_704967037090946688
217107,Gaia_DR1_2648914036061905664,TIC38271828,U252,344.56475,-2.39538,-6.819,-15.04,J2000,4.949,5575,33,33,TRUE,10,1,1,0,10,1,2730,0.76,,6,-13.15,Gaia_DR2_2648914040357320576,Gaia_DR3_2648914040357320576
145675,Gaia_DR1_1385293803850022528,TIC219483057,U252,242.60132,43.81764,131.745,-297.025,J2000,5.158,5338,42,42,TRUE,10,1,1,0,10,1,2820,0.78,,6.4,-13.75,Gaia_DR2_1385293808145621504,Gaia_DR3_1385293808145621504
210277,Gaia_DR1_2619706540462164992,TIC50227884,U252,332.37444,-7.54866,85.407,-450.617,J2000,5.275,5538,43,43,TRUE,10,1,1,0,10,1,2830,0.79,,6.4,-20.86,Gaia_DR2_2619706544757416192,Gaia_DR3_2619706544757416192
154345,Gaia_DR1_1359938515958232576,TIC198562505,U252,255.65168,47.08188,123.274,853.639,J2000,5.411,5468,47,47,TRUE,20,1,1,0,20,1,5740,1.59,,6.6,-46.88,Gaia_DR2_1359938520253565952,Gaia_DR3_1359938520253565952
82943,Gaia_DR1_5691782332443566208,TIC405485269,U252,143.7114,-12.12955,1.44,-174.33,J2000,5.509,5935,50,50,TRUE,10,1,1,0,10,1,2900,0.81,,6.4,8.1,Gaia_DR2_5691782130578684544,Gaia_DR3_5691782130578684544
50554,Gaia_DR1_3380479079767139840,TIC80224448,U252,103.67844,24.24556,-35.839,-96.668,J2000,5.776,5987,73,73,TRUE,10,1,1,0,10,1,3130,0.87,,6.7,-3.8,Gaia_DR2_3380479015342121600,Gaia_DR3_3380479015342121600
128311,Gaia_DR2_1176209886733406592,TIC349606708,U252,219.00233,9.74652,204.813,-250.457,J2000,5.772,4965,81,81,TRUE,10,1,1,0,10,1,3210,0.89,,7.2,-9.47,Gaia_DR2_1176209886733406592,Gaia_DR3_1176209886733406592
89307,Gaia_DR1_3886688323317543296,TIC61125572,U252,154.5887,12.62111,-272.659,-39.333,J2000,5.891,5955,85,85,TRUE,10,1,1,0,10,1,3250,0.9,,6.9,23.07,Gaia_DR2_3886688327612984704,Gaia_DR3_3886688327612984704
87883,Gaia_DR1_747266447704593408,TIC407591082,U252,152.17975,34.24226,-64.293,-61.438,J2000,5.839,4980,88,88,TRUE,10,1,1,0,10,1,3280,0.91,,7.3,9.32,Gaia_DR2_747266452000257280,Gaia_DR3_747266452000257280
114783,Gaia_DR2_3684934540986187776,TIC292113181,U252,198.18244,-2.26504,-138.362,10.284,J2000,6.025,5126,233,233,TRUE,22,1,1,0,22,4,10406,2.89,,7.3,-11.97,Gaia_DR2_3684934540986187776,Gaia_DR3_3684934540986187776
92788,Gaia_DR1_3802549432952577536,TIC169248301,U252,160.7022,-2.18376,-14.879,-223.013,J2000,6.131,5744,104,104,TRUE,10,1,1,0,10,1,3440,0.96,,7.2,-4.46,Gaia_DR2_3802549437248150656,Gaia_DR3_3802549437248150656
141937,Gaia_DR1_6248534167020305024,TIC437430894,U252,238.07311,-18.43607,97.862,22.363,J2000,6.127,5870,105,105,TRUE,10,1,1,0,10,1,3450,0.96,,7.1,-2.87,Gaia_DR2_6248534171318085376,Gaia_DR3_6248534171318085376
31253,Gaia_DR1_3295354477226053376,TIC436700755,U252,73.68189,12.35219,90.128,-42.736,J2000,6.06,6130,107,107,TRUE,5,1,1,0,5,1,1735,0.48,,7,12.15,Gaia_DR2_3295354481521174656,Gaia_DR3_3295354481521174656
34445,Gaia_DR1_3241295304419068672,TIC284907742,U252,79.42075,7.35335,-0.725,-146.886,J2000,6.122,5879,112,112,TRUE,6,1,1,0,6,1,2112,0.59,,7.2,-78.96,Gaia_DR2_3241295308714904960,Gaia_DR3_3241295308714904960
16175,Gaia_DR1_340028231497386112,TIC422922274,U252,39.25796,42.06263,-38.864,-41.234,J2000,6.166,5981,118,118,TRUE,10,1,1,0,10,1,3580,0.99,,7.1,21.76,Gaia_DR2_340028235795364864,Gaia_DR3_340028235795364864
106252,Gaia_DR1_3905603050051475200,TIC397558558,U252,183.37296,10.04164,23.315,-279.896,J2000,6.302,5874,123,123,TRUE,18,1,1,0,18,1,6534,1.82,,7.3,15.53,Gaia_DR2_3905603054348141440,Gaia_DR3_3905603054348141440
24040,Gaia_DR1_43802034989955968,TIC456863621,U252,57.5957,17.47637,113.433,-251.101,J2000,6.279,5802,129,129,TRUE,5,1,1,0,5,1,1845,0.51,,7.3,-9.34,Gaia_DR2_43802039287826432,Gaia_DR3_43802039287826432
32963,Gaia_DR2_3421680597955802624,TIC69528586,U252,76.98235,26.32797,-69.896,-66.118,J2000,6.42,5727,132,132,TRUE,8,1,1,0,8,1,2976,0.83,,7.4,-62.4,Gaia_DR2_3421680597955802624,Gaia_DR3_3421680597955802624
98736,Gaia_DR1_3977050724373629056,TIC3819571,U252,170.45559,18.19001,-151.945,-92.386,J2000,6.486,5271,134,134,TRUE,15,1,1,0,15,1,5610,1.56,,7.8,-3.37,Gaia_DR2_3977050728669174912,Gaia_DR3_3977050728669174912
37124,Gaia_DR2_3402798414192387328,TIC19631691,U252,84.26036,20.73079,-79.554,-420.042,J2000,6.359,5698,138,138,TRUE,7,1,1,0,7,1,2646,0.74,,7.5,-23.02,Gaia_DR2_3402798414192387328,Gaia_DR3_3402798414192387328
106515A,Gaia_DR1_3584074376569429248,TIC176940023,U252,183.77736,-7.25732,-251.469,-51.33,J2000,6.585,5362,142,142,TRUE,18,1,1,0,18,1,6876,1.91,Do Eastern Component,7.8,20.73,Gaia_DR2_3584074376569429248,Gaia_DR3_3584074376569429248
7449,Gaia_DR1_2482820710058258560,TIC248381971,U252,18.62218,-5.04739,-164.544,-134.382,J2000,6.425,6024,143,143,TRUE,10,1,1,0,10,1,3830,1.06,,7.4,-19.82,Gaia_DR2_2482820714353923072,Gaia_DR3_2482820714353923072
13931,Gaia_DR1_351537884858170624,TIC292851928,U252,34.19741,43.773,98.57,-183.408,J2000,6.452,5867,143,143,TRUE,10,1,1,0,10,1,3830,1.06,,7.5,30.57,Gaia_DR2_351537889154226816,Gaia_DR3_351537889154226816
44219,Gaia_DR1_3001428562122116224,TIC443055162,U252,95.05968,-10.72501,72.385,-16.574,J2000,6.509,5752,143,143,TRUE,9,1,1,0,9,1,3447,0.96,,7.5,-12.14,Gaia_DR2_3001428566419966592,Gaia_DR3_3001428566419966592
222582,Gaia_DR1_2440578572830646656,TIC9005067,U252,355.46471,-5.98576,-145.492,-111.458,J2000,6.522,5790,145,145,TRUE,10,1,1,0,10,1,3850,1.07,,7.5,12.02,Gaia_DR2_2440578577126302336,Gaia_DR3_2440578577126302336
45350,Gaia_DR2_955758320761687680,TIC144132551,U252,97.19046,38.96296,-42.748,-53.736,J2000,6.587,5566,149,149,TRUE,10,1,1,0,10,1,3890,1.08,,7.7,-20.67,Gaia_DR2_955758320761687680,Gaia_DR3_955758320761687680
11506,Gaia_DR1_5137855521193594880,TIC266680498,U252,28.21056,-19.50697,22.039,-97.904,J2000,6.508,6183,155,155,TRUE,6,1,1,0,6,1,2370,0.66,,7.4,-7.37,Gaia_DR2_5137855525488932864,Gaia_DR3_5137855525488932864
KOI-8107,Gaia_DR2_2076666238666184320,TIC138967951,N034,295.08751,41.0374,-55.302,-39.608,J2000,10.082,5832,148,148,TRUE,3,1,1,0,3,25,1164,0.32,,11,-20.43,Gaia_DR2_2076666238666184320,Gaia_DR3_2076666238666184320
KOI-7016,Gaia_DR2_2079597124345617280,TIC272174474,N034,296.00369,44.27755,9.987,8.943,J2000,12.263,5900,690,690,TRUE,3,1,1,0,3,25,2790,0.78,,13.4,-42.49,Gaia_DR2_2079597124345617280,Gaia_DR3_2079597124345617280
