Date,Start,Stop
2024-02-24,10:35,15:57
2024-02-25,10:35,15:57
2024-02-26,10:35,15:56
2024-02-27,10:34,15:55
2024-02-28,10:34,15:55
2024-03-01,10:34,15:53
2024-03-03,05:16,15:52
2024-03-16,10:30,15:41
2024-03-17,10:30,15:40
2024-03-18,10:30,15:39
2024-03-20,05:21,10:30
2024-03-21,05:21,15:37
2024-03-22,05:21,15:36
2024-03-23,05:21,15:35
2024-03-24,05:22,15:34
2024-03-26,07:54,10:27
2024-03-29,05:23,15:29
2024-03-30,05:24,15:29
2024-04-01,10:26,15:27
2024-04-04,10:24,15:24
2024-04-10,05:27,15:19
2024-04-11,10:22,15:18
2024-04-15,05:29,15:14
2024-04-17,10:21,15:14
2024-04-18,10:21,15:12
2024-04-20,10:21,15:10
2024-04-21,05:31,07:55
2024-04-23,05:32,15:08
2024-04-26,10:19,15:06
2024-04-29,10:19,15:03
2024-05-02,05:36,10:19
2024-05-09,10:18,14:57
2024-05-10,10:19,14:57
2024-05-12,10:18,14:55
2024-05-14,05:42,14:55
2024-05-16,05:43,10:19
2024-05-17,05:43,10:18
2024-05-19,05:44,10:18
2024-05-20,05:45,10:19
2024-05-23,10:19,14:51
2024-05-25,05:47,14:50
2024-05-27,05:48,14:50
2024-06-01,05:51,14:49
2024-06-05,10:21,14:49
2024-06-06,05:53,14:49
2024-06-07,05:53,14:49
2024-06-11,05:55,14:49
2024-06-12,05:55,08:08
2024-06-13,05:55,10:22
2024-06-14,05:56,14:49
2024-06-15,05:56,10:22
2024-06-16,05:56,14:49
2024-06-17,05:56,14:50
2024-06-18,10:24,14:50
2024-06-20,10:24,14:50
2024-06-21,10:24,14:50
2024-06-23,05:58,14:51
2024-06-24,05:58,10:24
2024-06-26,05:58,14:52
2024-06-29,10:26,14:53
2024-06-30,10:26,14:53
2024-07-02,10:26,14:54
2024-07-07,12:41,14:56
2024-07-09,10:27,14:56
2024-07-11,05:58,14:57
2024-07-12,05:58,14:58
2024-07-13,05:57,14:58
2024-07-14,10:28,14:59
2024-07-19,05:56,10:29
2024-07-22,10:28,15:02
2024-07-23,05:54,15:03
2024-07-24,10:29,15:03
2024-07-25,05:53,15:04
2024-07-26,10:28,15:04
2024-07-27,05:52,15:05
2024-07-29,05:51,15:06
2024-07-30,05:51,15:06
