Starname,RA,Decs,ndays,rise,set,Q1_on_date,Q1_off_date,Q1_on_number,Q1_off_number,Q2_on_date,Q2_off_date,Q2_on_number,Q2_off_number,Q3_on_date,Q3_off_date,Q3_on_number,Q3_off_number,Q4_on_date,Q4_off_date,Q4_on_number,Q4_off_number
95128,164.87,40.43,150,0,149,2024-02-17,2024-07-23,16,173,2024-02-01,2024-06-19,16,173,2024-02-01,2024-05-18,16,173,2024-02-01,2024-04-10,16,173
19994,48.19,-1.2,30,0,29,2024-02-01,2024-03-24,0,52,2024-02-01,2024-02-15,0,52,2024-02-01,2024-02-01,0,52,2024-07-13,2024-08-01,0,52
75732,133.15,28.33,115,0,114,2024-02-01,2024-06-18,0,138,2024-02-01,2024-05-18,0,138,2024-02-01,2024-04-13,0,138,2024-02-01,2024-02-28,0,138
217107,344.56,-2.4,56,127,182,2024-02-01,2024-02-01,0,0,2024-07-19,2024-08-01,0,0,2024-06-18,2024-08-01,0,0,2024-05-10,2024-08-01,0,0
145675,242.6,43.82,180,3,182,2024-05-05,2024-08-01,94,182,2024-03-29,2024-08-01,94,182,2024-02-12,2024-08-01,94,182,2024-02-01,2024-07-02,94,182
210277,332.37,-7.55,66,117,182,2024-02-01,2024-02-01,0,0,2024-07-08,2024-08-01,0,0,2024-06-06,2024-08-01,0,0,2024-04-28,2024-08-01,0,0
154345,255.65,47.08,167,16,182,2024-05-18,2024-08-01,107,182,2024-04-13,2024-08-01,107,182,2024-02-28,2024-08-01,107,182,2024-02-01,2024-07-11,107,182
82943,143.71,-12.13,112,0,111,2024-02-11,2024-06-15,10,135,2024-02-01,2024-05-15,10,135,2024-02-01,2024-04-09,10,135,2024-02-01,2024-02-24,10,135
50554,103.68,24.25,88,0,87,2024-02-01,2024-05-21,0,110,2024-02-01,2024-04-18,0,110,2024-02-01,2024-03-10,0,110,2024-02-01,2024-02-01,0,110
128311,219.0,9.75,183,0,182,2024-04-16,2024-08-01,75,182,2024-03-08,2024-08-01,75,182,2024-02-01,2024-07-03,75,182,2024-02-01,2024-05-30,75,182
89307,154.59,12.62,133,0,132,2024-02-10,2024-07-05,9,155,2024-02-01,2024-06-03,9,155,2024-02-01,2024-05-01,9,155,2024-02-01,2024-03-19,9,155
87883,152.18,34.24,136,0,135,2024-02-05,2024-07-08,4,158,2024-02-01,2024-06-05,4,158,2024-02-01,2024-05-03,4,158,2024-02-01,2024-03-25,4,158
114783,198.18,-2.27,172,0,171,2024-03-31,2024-08-01,59,182,2024-02-20,2024-07-10,59,182,2024-02-01,2024-06-07,59,182,2024-02-01,2024-05-04,59,182
92788,160.7,-2.18,134,0,133,2024-02-22,2024-07-06,21,156,2024-02-01,2024-06-03,21,156,2024-02-01,2024-05-02,21,156,2024-02-01,2024-03-19,21,156
141937,238.07,-18.44,165,18,182,2024-05-20,2024-08-01,109,182,2024-04-14,2024-08-01,109,182,2024-03-01,2024-07-07,109,182,2024-02-01,2024-06-04,109,182
31253,73.68,12.35,59,0,58,2024-02-01,2024-04-21,0,80,2024-02-01,2024-03-16,0,80,2024-02-01,2024-02-04,0,80,2024-07-31,2024-08-01,0,80
34445,79.42,7.35,63,0,62,2024-02-01,2024-04-25,0,84,2024-02-01,2024-03-20,0,84,2024-02-01,2024-02-08,0,84,2024-02-01,2024-02-01,0,84
