Starname,RA,Decs,ndays,rise,set,Q1_on_date,Q1_off_date,Q1_on_number,Q1_off_number,Q2_on_date,Q2_off_date,Q2_on_number,Q2_off_number,Q3_on_date,Q3_off_date,Q3_on_number,Q3_off_number,Q4_on_date,Q4_off_date,Q4_on_number,Q4_off_number
Kepler-172,283.368,41.822,132,0,131,2024-08-01,2024-12-05,0,126,2024-08-01,2024-10-24,0,126,2024-08-01,2024-09-09,0,126,2024-08-01,2024-08-01,0,126
TOI-1716,105.083,56.824,172,12,183,2025-01-01,2025-01-30,153,182,2024-11-22,2025-01-30,153,182,2024-10-14,2025-01-30,153,182,2024-09-04,2025-01-30,153,182
TOI-1723,116.797,68.477,148,36,183,2025-01-22,2025-01-30,174,182,2024-12-15,2025-01-30,174,182,2024-11-10,2025-01-30,174,182,2024-09-25,2025-01-30,174,182
TOI-5726,123.396,68.575,142,42,183,2024-08-01,2024-08-01,0,0,2024-12-21,2025-01-30,0,0,2024-11-17,2025-01-30,0,0,2024-10-04,2025-01-30,0,0
TOI-1777,151.807,46.115,128,56,183,2024-08-01,2024-08-01,0,0,2025-01-02,2025-01-30,0,0,2024-11-23,2025-01-30,0,0,2024-10-15,2025-01-30,0,0
TOI-1772,156.838,34.391,126,0,183,2024-08-01,2024-08-01,0,0,2025-01-06,2025-01-30,0,0,2024-11-28,2025-01-30,0,0,2024-10-20,2025-01-30,0,0
TOI-1180,214.553,82.194,75,0,183,2024-08-01,2024-08-14,0,13,2024-08-01,2024-08-01,0,13,2024-08-01,2024-08-01,0,13,2025-01-01,2025-01-30,0,13
TOI-1739,240.177,83.258,70,0,183,2024-08-01,2024-09-05,0,35,2024-08-01,2024-08-01,0,35,2024-08-01,2024-08-01,0,35,2025-01-23,2025-01-30,0,35
TOI-1184,272.204,60.678,122,0,183,2024-08-01,2024-11-25,0,116,2024-08-01,2024-10-10,0,116,2024-08-01,2024-08-30,0,116,2024-08-01,2024-08-01,0,116
TOI-1691,272.406,86.86,0,184,-1,2024-08-01,2024-08-01,0,0,2024-08-01,2024-08-01,0,0,2024-08-01,2024-08-01,0,0,2024-08-01,2024-08-01,0,0
TOI-1744,294.291,60.881,144,0,143,2024-08-01,2024-12-16,0,137,2024-08-01,2024-11-06,0,137,2024-08-01,2024-09-23,0,137,2024-08-01,2024-08-15,0,137
TOI-2211,308.539,-29.672,128,0,127,2024-08-15,2024-12-01,14,122,2024-08-01,2024-10-18,14,122,2024-08-01,2024-09-02,14,122,2024-08-01,2024-08-01,14,122
TOI-1630,352.017,75.553,184,0,183,2024-10-23,2025-01-29,83,181,2024-09-07,2024-12-23,83,181,2024-08-01,2024-11-16,83,181,2024-08-01,2024-10-04,83,181
TOI-1758,354.743,75.685,184,0,183,2024-10-26,2025-01-30,86,182,2024-09-11,2024-12-25,86,182,2024-08-03,2024-11-17,86,182,2024-08-01,2024-10-04,86,182
TOI-1432,329.402,36.322,178,0,177,2024-08-04,2025-01-15,3,167,2024-08-01,2024-12-08,3,167,2024-08-01,2024-10-30,3,167,2024-08-01,2024-09-19,3,167
TOI-2470,70.4285417,0.59998,184,0,183,2024-12-04,2025-01-30,125,182,2024-10-25,2025-01-30,125,182,2024-09-14,2025-01-21,125,182,2024-08-06,2024-12-14,125,182
TOI-4363,37.1104167,12.5493639,184,0,183,2024-10-28,2025-01-30,88,182,2024-09-14,2025-01-30,88,182,2024-08-06,2024-12-26,88,182,2024-08-01,2024-11-17,88,182
K2-155,65.469,21.354,184,0,183,2024-11-23,2025-01-30,114,182,2024-10-12,2025-01-30,114,182,2024-08-30,2025-01-27,114,182,2024-08-01,2024-12-15,114,182
KIC3970117,295.462,39.084,144,0,143,2024-08-01,2024-12-16,0,137,2024-08-01,2024-11-06,0,137,2024-08-01,2024-09-24,0,137,2024-08-01,2024-08-16,0,137
KIC4055092,290.98,39.186,140,0,139,2024-08-01,2024-12-12,0,133,2024-08-01,2024-11-01,0,133,2024-08-01,2024-09-18,0,133,2024-08-01,2024-08-10,0,133
KIC4075064,295.869,39.148,145,0,144,2024-08-01,2024-12-17,0,138,2024-08-01,2024-11-07,0,138,2024-08-01,2024-09-25,0,138,2024-08-01,2024-08-16,0,138
KIC4375101,294.153,39.464,143,0,142,2024-08-01,2024-12-15,0,136,2024-08-01,2024-11-05,0,136,2024-08-01,2024-09-23,0,136,2024-08-01,2024-08-14,0,136
KIC4661634,293.682,39.759,143,0,142,2024-08-01,2024-12-15,0,136,2024-08-01,2024-11-05,0,136,2024-08-01,2024-09-22,0,136,2024-08-01,2024-08-13,0,136
KIC4736208,288.537,39.83,137,0,136,2024-08-01,2024-12-10,0,131,2024-08-01,2024-10-30,0,131,2024-08-01,2024-09-15,0,131,2024-08-01,2024-08-07,0,131
KIC4824268,288.283,39.992,137,0,136,2024-08-01,2024-12-10,0,131,2024-08-01,2024-10-29,0,131,2024-08-01,2024-09-15,0,131,2024-08-01,2024-08-07,0,131
KIC5535280,292.348,40.733,141,0,140,2024-08-01,2024-12-14,0,135,2024-08-01,2024-11-03,0,135,2024-08-01,2024-09-20,0,135,2024-08-01,2024-08-12,0,135
KIC7456521,295.096,43.048,144,0,143,2024-08-01,2024-12-17,0,138,2024-08-01,2024-11-07,0,138,2024-08-01,2024-09-24,0,138,2024-08-01,2024-08-16,0,138
KIC7620844,295.61,43.26,145,0,144,2024-08-01,2024-12-17,0,138,2024-08-01,2024-11-07,0,138,2024-08-01,2024-09-25,0,138,2024-08-01,2024-08-16,0,138
KIC7830637,294.547,43.534,144,0,143,2024-08-01,2024-12-16,0,137,2024-08-01,2024-11-06,0,137,2024-08-01,2024-09-24,0,137,2024-08-01,2024-08-15,0,137
KIC7847927,299.133,43.527,149,0,148,2024-08-01,2024-12-20,0,141,2024-08-01,2024-11-11,0,141,2024-08-01,2024-09-30,0,141,2024-08-01,2024-08-21,0,141
KIC8560285,291.902,44.684,141,0,140,2024-08-01,2024-12-14,0,135,2024-08-01,2024-11-03,0,135,2024-08-01,2024-09-20,0,135,2024-08-01,2024-08-12,0,135
KIC9214712,290.39,45.681,140,0,139,2024-08-01,2024-12-12,0,133,2024-08-01,2024-11-01,0,133,2024-08-01,2024-09-18,0,133,2024-08-01,2024-08-10,0,133
KIC9837544,294.486,46.676,144,0,143,2024-08-01,2024-12-16,0,137,2024-08-01,2024-11-06,0,137,2024-08-01,2024-09-24,0,137,2024-08-01,2024-08-15,0,137
KIC9839062,295.066,46.686,145,0,144,2024-08-01,2024-12-17,0,138,2024-08-01,2024-11-07,0,138,2024-08-01,2024-09-25,0,138,2024-08-01,2024-08-16,0,138
KIC9902856,296.418,46.732,146,0,145,2024-08-01,2024-12-18,0,139,2024-08-01,2024-11-08,0,139,2024-08-01,2024-09-27,0,139,2024-08-01,2024-08-18,0,139
KIC10091110,297.466,47.023,147,0,146,2024-08-01,2024-12-19,0,140,2024-08-01,2024-11-09,0,140,2024-08-01,2024-09-28,0,140,2024-08-01,2024-08-19,0,140
KIC10152836,296.037,47.18,146,0,145,2024-08-01,2024-12-18,0,139,2024-08-01,2024-11-08,0,139,2024-08-01,2024-09-26,0,139,2024-08-01,2024-08-17,0,139
KIC10292238,298.077,47.347,148,0,147,2024-08-01,2024-12-20,0,141,2024-08-01,2024-11-10,0,141,2024-08-01,2024-09-29,0,141,2024-08-01,2024-08-20,0,141
KIC10677186,296.223,47.924,146,0,145,2024-08-01,2024-12-18,0,139,2024-08-01,2024-11-08,0,139,2024-08-01,2024-09-26,0,139,2024-08-01,2024-08-18,0,139
KIC10748621,297.773,48.098,148,0,147,2024-08-01,2024-12-19,0,140,2024-08-01,2024-11-10,0,140,2024-08-01,2024-09-28,0,140,2024-08-01,2024-08-20,0,140
KIC10798605,292.424,48.16,142,0,141,2024-08-01,2024-12-14,0,135,2024-08-01,2024-11-04,0,135,2024-08-01,2024-09-21,0,135,2024-08-01,2024-08-13,0,135
KIC11558882,291.74,49.571,141,0,140,2024-08-01,2024-12-14,0,135,2024-08-01,2024-11-03,0,135,2024-08-01,2024-09-21,0,135,2024-08-01,2024-08-12,0,135
KIC11615481,294.254,49.696,144,0,143,2024-08-01,2024-12-16,0,137,2024-08-01,2024-11-06,0,137,2024-08-01,2024-09-24,0,137,2024-08-01,2024-08-15,0,137
HAT-P-4B,229.991,36.23,126,0,183,2024-08-01,2024-10-06,0,66,2024-08-01,2024-08-21,0,66,2024-08-01,2024-08-01,0,66,2024-12-24,2025-01-30,0,66
WASP-180B,123.393,-1.984,148,36,183,2025-01-22,2025-01-30,174,182,2024-12-15,2025-01-30,174,182,2024-11-10,2025-01-30,174,182,2024-09-26,2025-01-30,174,182
WASP-173B,354.170625,-34.6118917,168,0,167,2024-10-04,2025-01-06,64,158,2024-08-23,2024-11-28,64,158,2024-08-01,2024-10-17,64,158,2024-08-01,2024-09-05,64,158
ADS16402A,344.441,38.674,184,0,183,2024-08-23,2025-01-29,22,181,2024-08-01,2024-12-22,22,181,2024-08-01,2024-11-16,22,181,2024-08-01,2024-10-04,22,181
Kepler-100,291.386,41.99,141,0,140,2024-08-01,2024-12-13,0,134,2024-08-01,2024-11-02,0,134,2024-08-01,2024-09-19,0,134,2024-08-01,2024-08-11,0,134
Kepler-65,288.689,41.151,138,0,137,2024-08-01,2024-12-10,0,131,2024-08-01,2024-10-30,0,131,2024-08-01,2024-09-16,0,131,2024-08-01,2024-08-07,0,131
Kepler-220,291.506,46.896,141,0,140,2024-08-01,2024-12-14,0,135,2024-08-01,2024-11-03,0,135,2024-08-01,2024-09-20,0,135,2024-08-01,2024-08-12,0,135
Kepler-142,295.119,48.481,145,0,144,2024-08-01,2024-12-17,0,138,2024-08-01,2024-11-07,0,138,2024-08-01,2024-09-25,0,138,2024-08-01,2024-08-16,0,138
K2-58,333.822,-14.05,166,0,165,2024-08-30,2025-01-05,29,157,2024-08-01,2024-11-26,29,157,2024-08-01,2024-10-16,29,157,2024-08-01,2024-09-03,29,157
Kepler-135,290.495,38.795,139,0,138,2024-08-01,2024-12-12,0,133,2024-08-01,2024-11-01,0,133,2024-08-01,2024-09-18,0,133,2024-08-01,2024-08-09,0,133
32147,75.204,-5.754,184,0,183,2024-12-12,2025-01-30,133,182,2024-11-03,2025-01-30,133,182,2024-09-24,2025-01-27,133,182,2024-08-13,2024-12-16,133,182
10700,26.017,-15.937,184,0,183,2024-11-01,2025-01-30,92,182,2024-09-18,2025-01-12,92,182,2024-08-09,2024-12-05,92,182,2024-08-01,2024-10-29,92,182
10476,25.624,20.269,184,0,183,2024-10-12,2025-01-30,72,182,2024-08-30,2025-01-27,72,182,2024-08-01,2024-12-18,72,182,2024-08-01,2024-11-13,72,182
4628,12.096,5.281,184,0,183,2024-10-03,2025-01-30,63,182,2024-08-21,2025-01-09,63,182,2024-08-01,2024-12-01,63,182,2024-08-01,2024-10-24,63,182
Kepler-86,289.764,51.963,140,0,139,2024-08-01,2024-12-12,0,133,2024-08-01,2024-11-01,0,133,2024-08-01,2024-09-18,0,133,2024-08-01,2024-08-10,0,133
Kepler-1654,282.186,44.434,131,0,130,2024-08-01,2024-12-05,0,126,2024-08-01,2024-10-23,0,126,2024-08-01,2024-09-07,0,126,2024-08-01,2024-08-01,0,126
Kepler-1746,288.32,42.261,137,0,136,2024-08-01,2024-12-10,0,131,2024-08-01,2024-10-30,0,131,2024-08-01,2024-09-15,0,131,2024-08-01,2024-08-07,0,131
KIC3558849,294.95,38.605,144,0,143,2024-08-01,2024-12-16,0,137,2024-08-01,2024-11-06,0,137,2024-08-01,2024-09-23,0,137,2024-08-01,2024-08-15,0,137
Kepler-511,282.946,47.575,132,0,131,2024-08-01,2024-12-06,0,127,2024-08-01,2024-10-24,0,127,2024-08-01,2024-09-09,0,127,2024-08-01,2024-08-01,0,127
TIC224298134,185.339,57.752,124,0,183,2024-08-01,2024-08-11,0,10,2024-08-01,2024-08-01,0,10,2024-12-28,2025-01-30,0,10,2024-11-17,2025-01-30,0,10
TIC321669174,264.303,53.026,126,0,183,2024-08-01,2024-11-17,0,108,2024-08-01,2024-10-04,0,108,2024-08-01,2024-08-22,0,108,2025-01-29,2025-01-30,0,108
TIC198162530,243.908,61.926,120,0,183,2024-08-01,2024-10-25,0,85,2024-08-01,2024-09-06,0,85,2024-08-01,2024-08-01,0,85,2025-01-13,2025-01-30,0,85
