,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-08-01,2024-08-01,2460523.7626126097,2460523.7429437228,2460523.723727388,2460524.110078812,2460524.1297443346,2460524.148957103
2024-08-02,2024-08-02,2460524.762153961,2460524.742535336,2460524.723359828,2460525.1104391995,2460525.1300546667,2460525.149226826
2024-08-03,2024-08-03,2460525.761684087,2460525.7421152955,2460525.722980748,2460526.1107966863,2460526.1303625787,2460526.1494940524
2024-08-04,2024-08-04,2460526.7612067815,2460526.74168378,2460526.722590285,2460527.1111486387,2460527.130667839,2460527.1497585964
2024-08-05,2024-08-05,2460527.760718105,2460527.7412437387,2460527.7221885845,2460528.11149784,2460528.130969501,2460528.150020285
2024-08-06,2024-08-06,2460528.7602182934,2460528.740793163,2460528.7217758023,2460529.111844037,2460529.1312666275,2460529.150278958
2024-08-07,2024-08-07,2460529.759707591,2460529.7403317015,2460529.7213528017,2460530.112186993,2460530.1315605766,2460530.150534472
2024-08-08,2024-08-08,2460530.7591862534,2460530.739859565,2460530.7209207597,2460531.112526487,2460531.1318511786,2460531.150786697
2024-08-09,2024-08-09,2460531.7586545465,2460531.739376977,2460531.720478163,2460532.112862317,2460532.1321382807,2460532.1510353643
2024-08-10,2024-08-10,2460532.758112748,2460532.7388841724,2460532.7200252092,2460533.113194299,2460533.132421747,2460533.1512793894
2024-08-11,2024-08-11,2460533.757561151,2460533.7383814007,2460533.719562111,2460534.11352227,2460534.132701461,2460534.1515199016
2024-08-12,2024-08-12,2460534.757000069,2460534.7378689344,2460534.719089104,2460535.11384609,2460535.1329773297,2460535.151756847
2024-08-13,2024-08-13,2460535.756429876,2460535.737347101,2460535.718606476,2460536.1141655664,2460536.133249206,2460536.1519901166
2024-08-14,2024-08-14,2460536.755850668,2460536.7368159667,2460536.7181142704,2460537.114480004,2460537.13351644,2460537.1522190976
2024-08-15,2024-08-15,2460537.755262328,2460537.736275382,2460537.7176123005,2460538.114790551,2460538.1337801963,2460538.152444972
2024-08-16,2024-08-16,2460538.754669084,2460538.735726641,2460538.7171018263,2460539.1150965425,2460539.13403987,2460539.1526671844
2024-08-17,2024-08-17,2460539.7540697395,2460539.7351696393,2460539.716582706,2460540.115397845,2460540.134295368,2460540.1528856754
2024-08-18,2024-08-18,2460540.7534627714,2460540.734606335,2460540.7160551813,2460541.1156944586,2460541.1345467237,2460541.153100508
